,job_title,company_name,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date,district,city,province
0,Frontend Developer,PT Lanius Inovasi Indonesia,Remote/Dari rumah,-,"React.js,Nuxt.js,Frontend Development",https://glints.com/id/opportunities/jobs/frontend-developer/8c4e000c-ea31-4e31-8dec-1822fadbfb01?utm_referrer=explore,8c4e000c-ea31-4e31-8dec-1822fadbfb01,daily,remote,1-3,Sarjana,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-29,Lowokwaru, Malang, Jawa Timur
1,Frontend Developer,PT Lumos Inisiatif Indonesia,Kerja di kantor,Rp5jt-Rp7jt,"React.js,Nextjs,TypeScript",https://glints.com/id/opportunities/jobs/frontend-developer/3cb35f09-45ea-4f15-bbab-ce7ddee3b981?utm_referrer=explore,3cb35f09-45ea-4f15-bbab-ce7ddee3b981,full_time,onsite,1-3,SMA/SMK,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-29,Kebon Jeruk, Jakarta Barat, DKI Jakarta
2,Frontend Developer,PT Lanius Inovasi Indonesia,Kerja di kantor,-,"React.js,JavaScript,Next.js",https://glints.com/id/opportunities/jobs/frontend-developer/cdc59126-ad87-45ea-b88e-dfb9b729bcb6?utm_referrer=explore,cdc59126-ad87-45ea-b88e-dfb9b729bcb6,full_time,onsite,1-3,Diploma,Computer & Information Technology,Software,Software Developer,2024-04-29,Lowokwaru, Malang, Jawa Timur
3,Frontend Developer,PT Global Indonesia Asia Sejahtera (GIAS Group),Kerja di kantor,-,"PHP,Vue.js,Laravel",https://glints.com/id/opportunities/jobs/frontend-developer/2c92664b-f0a5-4e5b-bc08-60bfe711d8e0?utm_referrer=explore,2c92664b-f0a5-4e5b-bc08-60bfe711d8e0,full_time,onsite,<1,Diploma,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-29,Pademangan, Jakarta Utara, DKI Jakarta
4,Frontend Developer,Total IT,Kerja di kantor,Rp4jt-Rp7jt,"CSS3,REST API,Vue.js,HTML5,JavaScript",https://glints.com/id/opportunities/jobs/frontend-developer/7c295a67-80f6-49cc-be07-696e52e23dee?utm_referrer=explore,7c295a67-80f6-49cc-be07-696e52e23dee,full_time,onsite,1-3,Diploma,Computer & Information Technology,Software,Web Developer,2024-04-29,Cilandak, Jakarta Selatan, DKI Jakarta
5,Frontend Developer,PT. Harapan Energie Indonesia,Kerja di kantor,Rp5jt-Rp8jt,"Node.js,Amazon Web Services (AWS),Web Development,Angular.js,Mobile App Development,Mobile UI Design,Responsive Web Design,Software Development,AWS Lambda",https://glints.com/id/opportunities/jobs/frontend-developer/47a45cd6-c8fc-448f-8bac-628a069b36cf?utm_referrer=explore,47a45cd6-c8fc-448f-8bac-628a069b36cf,full_time,onsite,1-3,Diploma,Computer & Information Technology,Software,Computer Programmer,2024-04-29,Serpong Utara, Tangerang Selatan, Banten
6,Frontend Developer,PT Neural Technologies Indonesia (Official),Kerja di kantor,-,"GIT,JavaScript,React.js",https://glints.com/id/opportunities/jobs/frontend-developer/617866c6-305d-4e5f-849b-ff985bba61d8?utm_referrer=explore,617866c6-305d-4e5f-849b-ff985bba61d8,contract,onsite,1-3,Diploma,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-29,Tebet, Jakarta Selatan, DKI Jakarta
7,Frontend Developer,Pt Wowrack Indonesia,Kerja di kantor,-,"Programming Languages,Nuxt.js,GIT,IT Project Management,HTML5,Laravel,Frontend Development,PHP",https://glints.com/id/opportunities/jobs/frontend-developer/e0ab0d6b-42e2-4b12-9556-596e6e499037?utm_referrer=explore,e0ab0d6b-42e2-4b12-9556-596e6e499037,full_time,onsite,1-3,Diploma,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-29,Genteng, Surabaya, Jawa Timur
8,Frontend Developer,Pt. Quantus Telematika Indonesia,Kerja di kantor,-,"JavaScript,CSS3,React.js,GIT,Vue.js,React Native,HTML5",https://glints.com/id/opportunities/jobs/fronted-developer/abe705b4-9be4-4d0b-a958-fd8f2d0e379e?utm_referrer=explore,abe705b4-9be4-4d0b-a958-fd8f2d0e379e,full_time,onsite,1-3,Diploma,Computer & Information Technology,Mobile Development,Mobile Developer,2024-04-29,Coblong, Bandung, Jawa Barat
9,Frontend ReactJS Developer,PT Code Development Indonesia,Kerja di kantor,-,"Frontend Development,React Native,React.js",https://glints.com/id/opportunities/jobs/frontend-reactjs-developer/02f56ac0-3324-4864-810f-06cf20e4d2b9?utm_referrer=explore,02f56ac0-3324-4864-810f-06cf20e4d2b9,full_time,onsite,3-5,Sarjana,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support,2024-04-29,Setiabudi, Jakarta Selatan, DKI Jakarta
