job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role
IT Project Ops,PT Stampindo Lancar Jaya,"Kembangan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp5jt-Rp7jt,https://glints.com/id/opportunities/jobs/it-project-ops/40df2354-87cf-490d-90b7-00271c7dba9e?utm_referrer=explore,40df2354-87cf-490d-90b7-00271c7dba9e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Operation & Maintenance Engineer
Back End Developer,PT Rect Media Komputindo,"Semarang Tengah, Semarang, Jawa Tengah",Kerja di kantor,Rp3jt-Rp5jt,https://glints.com/id/opportunities/jobs/back-end-developer/fbcc6efd-3e92-47c8-848b-28fd57ee1478?utm_referrer=explore,fbcc6efd-3e92-47c8-848b-28fd57ee1478,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer
Teknisi Elektronik,PT Unicom Harbura Jaya Makmur,"Kemayoran, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi-elektronik/1e9f1be9-9ec7-4a5c-ae96-972dfdf63ab6?utm_referrer=explore,1e9f1be9-9ec7-4a5c-ae96-972dfdf63ab6,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Teknisi Handphone,PT Unicom Harbura Jaya Makmur,"Kemayoran, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi-handphone/301375b6-8565-46d0-8bc7-16ebb9535994?utm_referrer=explore,301375b6-8565-46d0-8bc7-16ebb9535994,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Software Quality Assurance (QA),Pt Rpay Finansial Digital Indonesia,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/software-quality-assurance-qa/42c7325f-9e11-496a-9ea5-5ec71d9fdd72?utm_referrer=explore,42c7325f-9e11-496a-9ea5-5ec71d9fdd72,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester
Engineering (Drafter & Program Mesin),PT. Dharma Putra Sejahtera Abadi,"Kapanewon Depok, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/engineering-drafter-and-program-mesin/73a5b167-fcbe-42e8-b2a9-d17c859feaea?utm_referrer=explore,73a5b167-fcbe-42e8-b2a9-d17c859feaea,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
PHP Developer,PT Lumos Inisiatif Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/php-developer/20761eb7-e51a-424b-8a93-6f5401fe80ba?utm_referrer=explore,20761eb7-e51a-424b-8a93-6f5401fe80ba,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Backend Development,Backend Developer
Technical Writer Intern,Evermos (PT Setiap Hari Dipakai),"Coblong, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/technical-writer-intern/0d538585-f7c1-4610-a1f3-9bfc60adc112?utm_referrer=explore,0d538585-f7c1-4610-a1f3-9bfc60adc112,internship,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Other Computer & Information Technology,Other Technical Positions
IT Cyber Engineer,Lawencon International,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp8jt-Rp15jt,https://glints.com/id/opportunities/jobs/it-cyber-engineer/6f0f1d2a-cfcd-4f67-bfbb-d4f22f047f47?utm_referrer=explore,6f0f1d2a-cfcd-4f67-bfbb-d4f22f047f47,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Security Engineer
Admin Media Sosial,KINGDOM STATIONERY,"Denpasar Barat, Denpasar, Bali",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/admin-media-sosial/e5bba720-bf29-4c2c-8a4b-587a1721ae03?utm_referrer=explore,e5bba720-bf29-4c2c-8a4b-587a1721ae03,part_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,"Network, System & Database Admin",Network Administrator
Web Developer Lecturer - JKT,Purwadhika Digital Technology School,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/web-developer-lecturer-jkt/4ee3bd04-d2b0-496b-a978-ac0ead2e787c?utm_referrer=explore,4ee3bd04-d2b0-496b-a978-ac0ead2e787c,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Web Developer
EPM Applications Developer,Dot Indonesia,"Cilandak, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/epm-applications-developer/ce8a80b2-1f2b-40e6-9b33-f57e0cf27bff?utm_referrer=explore,ce8a80b2-1f2b-40e6-9b33-f57e0cf27bff,contract,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Devops Engineer
IT Bootcamp Jakarta Batch 17,Pt Enigma Camp,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-bootcamp-jakarta-batch-17/35d250c7-d744-461c-aff6-ffb7f783f86f?utm_referrer=explore,35d250c7-d744-461c-aff6-ffb7f783f86f,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
ERP Developer,Superteam Consultant,"Sukajadi, Bandung, Jawa Barat",Kerja di kantor,Rp6jt-Rp9jt,https://glints.com/id/opportunities/jobs/erp-developer/327ef61d-e04b-4d5e-bd42-68116831bdc9?utm_referrer=explore,327ef61d-e04b-4d5e-bd42-68116831bdc9,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
IT Bootcamp Cabang Malang Batch 3,Pt Enigma Camp,"Lowokwaru, Malang, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-bootcamp-cabang-malang-batch-3/b66876d7-80be-4cd8-9e36-450e15d5ff05?utm_referrer=explore,b66876d7-80be-4cd8-9e36-450e15d5ff05,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Software Engineer
IT Security Operation,Qode World,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-security-operation/854b311f-56b0-436b-8d45-71f4ebf588ef?utm_referrer=explore,854b311f-56b0-436b-8d45-71f4ebf588ef,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",System Security
Experience IT EDC Android Developer,PCS Payment,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp6,5jt-Rp9,5jt",https://glints.com/id/opportunities/jobs/experience-it-edc-android-developer/d71afe9e-cdbc-4eae-8e45-eab093105b49?utm_referrer=explore,d71afe9e-cdbc-4eae-8e45-eab093105b49,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Mobile Development,Android Developer
Programmer Project Based,PT. David Roy Indonesia,"Kalideres, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/programmer-project-based/46f2b84c-fa9d-403d-8ff3-3cfd16d91580?utm_referrer=explore,46f2b84c-fa9d-403d-8ff3-3cfd16d91580,contract,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Programmer
IT Frontend & Backend Developer,PT Lobunta Kencana Raya,"Sawah Besar, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-frontend-and-backend-developer/92139ff9-a5bc-49aa-a319-398def61398d?utm_referrer=explore,92139ff9-a5bc-49aa-a319-398def61398d,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Web Developer
Technical Support SOLO,HSP Net,"Banjarsari, Surakarta, Jawa Tengah",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/technical-support-solo/c8f3a65f-9815-475b-b95b-82ebf16b161f?utm_referrer=explore,c8f3a65f-9815-475b-b95b-82ebf16b161f,contract,Remote/Dari rumah,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Telecommunication,Wireless & RF Communication Engineer
Full Stack Engineer,PT Lobunta Kencana Raya,"Sawah Besar, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/full-stack-engineer/9385e6e1-f089-41ed-8e08-da97fabb2d86?utm_referrer=explore,9385e6e1-f089-41ed-8e08-da97fabb2d86,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Full Stack Engineer
Teknisi Timbangan,PT Karya Gemilang Utama,"Bekasi Utara, Bekasi, Jawa Barat",Kerja di kantor,Rp3jt-Rp4jt,https://glints.com/id/opportunities/jobs/teknisi-timbangan/e31052d2-f4b0-4678-840b-0924be4a7642?utm_referrer=explore,e31052d2-f4b0-4678-840b-0924be4a7642,full_time,Kerja di kantor,3 – 5 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer
Services Desk Officer,PT. HGT Services Indonesia,"Cengkareng, Jakarta Barat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/services-desk-officer/d366a011-59be-4196-9c1b-ad0d9f681eb8?utm_referrer=explore,d366a011-59be-4196-9c1b-ad0d9f681eb8,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
QA Tester,PT. Kreatifitas Sinergisme Teknoindo,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/qa-tester/b899c8a3-7e02-406e-b37a-111d860160cd?utm_referrer=explore,b899c8a3-7e02-406e-b37a-111d860160cd,contract,Remote/Dari rumah,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,QA & Software Testing,QA Tester
Full Stack IT Developer (Jatake),PT Hasura Mitra Gemilang,"Cikupa, Tangerang, Banten",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/full-stack-it-developer-jatake/a9c2604c-e88e-44c5-b855-b5546350cb80?utm_referrer=explore,a9c2604c-e88e-44c5-b855-b5546350cb80,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Full Stack Engineer
