job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,category,sub_category,role
Sys Eng & Devs Ops Eng (L2),Id/x Partners,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/sys-eng-and-devs-ops-eng-l2/1c705026-89a0-4dcd-ba01-fec08492cdca?utm_referrer=explore,1c705026-89a0-4dcd-ba01-fec08492cdca,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Java Developer,PT Reka Cipta Solusi,"Cibeunying Kidul, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/java-developer/d1f6206d-9655-4a09-b676-e785dd333aaa?utm_referrer=explore,d1f6206d-9655-4a09-b676-e785dd333aaa,full_time,Computer & Information Technology,Backend Development,Java Developer
Programmer Web & Aplikasi,PT Bedev Development Technology,"Denpasar Utara, Denpasar, Bali",Kerja di kantor,Rp2jt-Rp4jt,https://glints.com/id/opportunities/jobs/programmer-web-and-aplikasi/0659fba8-592e-4d34-99d3-e33629ff6c03?utm_referrer=explore,0659fba8-592e-4d34-99d3-e33629ff6c03,full_time,Computer & Information Technology,Software,Programmer
Senior Java Springboot Programmer,Inotal Sistema International,"Gambir, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Rp12jt-Rp20jt,https://glints.com/id/opportunities/jobs/senior-java-springboot-programmer/ba9a85af-0115-4e44-9583-17b49e8ac631?utm_referrer=explore,ba9a85af-0115-4e44-9583-17b49e8ac631,contract,Computer & Information Technology,Software,Computer Programmer
Web Developer,Edumatrix Indonesia,"Kapanewon Mlati, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/web-developer/85c47d8e-2506-4829-a264-3f7ed194b0d7?utm_referrer=explore,85c47d8e-2506-4829-a264-3f7ed194b0d7,full_time,Computer & Information Technology,Software,Web Developer
QC Software,PT Indotank Group,"Asem Rowo, Surabaya, Jawa Timur",Kerja di kantor,Rp5jt-Rp7jt,https://glints.com/id/opportunities/jobs/qc-software/135c7bc3-beb6-4db0-81c9-b0f46eb97ca3?utm_referrer=explore,135c7bc3-beb6-4db0-81c9-b0f46eb97ca3,full_time,Computer & Information Technology,Software,Software Engineer
Staff Engineering (Civil Engineering),PT GEOTECH EFATHAMA,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-engineering-civil-engineering/bb020a12-e47e-4db5-adb1-4c9362fb9913?utm_referrer=explore,bb020a12-e47e-4db5-adb1-4c9362fb9913,full_time,Computer & Information Technology,Software,Staff Engineer
Teknisi Mesin Boiler Laundry,PT. Balinusa Windumas,"Denpasar Selatan, Denpasar, Bali",Kerja di kantor,Rp3jt-Rp5jt,https://glints.com/id/opportunities/jobs/teknisi-mesin-boiler-laundry/444c65de-d53d-4e4f-a468-8e6185e8afcf?utm_referrer=explore,444c65de-d53d-4e4f-a468-8e6185e8afcf,full_time,Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer
Security,PT. DYCOM ENGINEERING,"Cengkareng, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp4jt-Rp5jt,https://glints.com/id/opportunities/jobs/security/85a6aa7d-34d8-4d16-9415-ec2bd4c3db99?utm_referrer=explore,85a6aa7d-34d8-4d16-9415-ec2bd4c3db99,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",System Security
IT SPECIALIST,PT Chemitra Solvenindo,"Taman, Sidoarjo, Jawa Timur",Kerja di kantor,"Rp4jt-Rp4,7jt",https://glints.com/id/opportunities/jobs/it-specialist/b21681dd-de06-4992-a02c-04c323826174?utm_referrer=explore,b21681dd-de06-4992-a02c-04c323826174,full_time,Computer & Information Technology,Artificial Intelligence,AI Engineer
