,job_title,company_name,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,sub_category,role,scrapped_date,district,city,province
0,IT Technical Application Support - (L1 Support) - Banking,Id/x Partners,-,"Linux System Administration,SQL,Rdbms",https://glints.com/id/opportunities/jobs/it-technical-application-support-l1-support-banking/e15b9ff4-946a-4d01-b3ec-d8e2a510d59a?utm_referrer=explore,e15b9ff4-946a-4d01-b3ec-d8e2a510d59a,full_time,onsite,1-3,Sarjana,"Operation, Maintenance & Technical Support",Application Support,4/3/2024,Tanah Abang, Jakarta Pusat, DKI Jakarta
1,IT Project Ops,PT Stampindo Lancar Jaya,Rp5jt-Rp7jt,"Data Management,IT Project Management,PostgreSQL",https://glints.com/id/opportunities/jobs/it-project-ops/40df2354-87cf-490d-90b7-00271c7dba9e?utm_referrer=explore,40df2354-87cf-490d-90b7-00271c7dba9e,full_time,onsite,1-3,Sarjana,"Operation, Maintenance & Technical Support",Operation & Maintenance Engineer,4/3/2024,Kembangan, Jakarta Barat, DKI Jakarta
2,Back End Developer,PT Rect Media Komputindo,Rp3jt-Rp5jt,"Laravel,PHP,Python,Go / Golang",https://glints.com/id/opportunities/jobs/back-end-developer/fbcc6efd-3e92-47c8-848b-28fd57ee1478?utm_referrer=explore,fbcc6efd-3e92-47c8-848b-28fd57ee1478,full_time,onsite,1-3,Sarjana,Backend Development,Backend Developer,4/3/2024,Semarang Tengah, Semarang, Jawa Tengah
3,Senior Frontend Developer,PT Suitmedia Kreasi Indonesia,-,"UX Design,CSS3,Vue.js,API Development,JavaScript,React.js,UI Design,Model-View-Controller (MVC),GIT,HTML5,Angular.js",https://glints.com/id/opportunities/jobs/senior-frontend-developer/d8e24264-b030-42d9-a5c9-559d68736437?utm_referrer=explore,d8e24264-b030-42d9-a5c9-559d68736437,full_time,onsite,1-3,Sarjana,Frontend Development,Frontend Engineer,4/3/2024,Pasar Minggu, Jakarta Selatan, DKI Jakarta
4,Digital Product Growth Analyst,PT Sigma Global Teknologi,-,"SQL,Pengembangan Produk,Jira,Metodologi Agile",https://glints.com/id/opportunities/jobs/digital-product-growth-analyst/b08e5630-470f-4dec-af9e-f6000ec608f1?utm_referrer=explore,b08e5630-470f-4dec-af9e-f6000ec608f1,contract,onsite,3-5,Sarjana,Software,Software Engineer,4/3/2024,Senen, Jakarta Pusat, DKI Jakarta
5,Data Analyst Ecommerce,PT Optima Technology Indonesia,Rp5jt-Rp8jt,"Data Entry,Data Collection,Data Management",https://glints.com/id/opportunities/jobs/data-analyst-ecommerce/dc8d8e7c-2cf3-47ac-8e33-cbe57e57dc4a?utm_referrer=explore,dc8d8e7c-2cf3-47ac-8e33-cbe57e57dc4a,full_time,onsite,1-3,SMA/SMK,Data,Data Analyst,4/3/2024,Penjaringan, Jakarta Utara, DKI Jakarta
6,IT Staff,PT MOVI Ventura Prima,-,"Logical Reasoning,Search Engine Optimization (SEO),Asset Management",https://glints.com/id/opportunities/jobs/it-staff/6597a6fb-b5ec-4c1a-b041-0f33c36298bf?utm_referrer=explore,6597a6fb-b5ec-4c1a-b041-0f33c36298bf,full_time,onsite,1-3,Sarjana,Other Computer & Information Technology,Information Technology Staff,4/3/2024,Kebayoran Baru, Jakarta Selatan, DKI Jakarta
7,Backend stack dan Frontend stack,Inotal Sistema International,-,"Mercure,Php Symfony,TailwindCSS,Vite,Php Swoole,React.js,PHP",https://glints.com/id/opportunities/jobs/backend-stack-dan-frontend-stack/e23625fd-527a-4963-be6f-72b1d182d40a?utm_referrer=explore,e23625fd-527a-4963-be6f-72b1d182d40a,contract,onsite,3-5,Diploma,Backend Development,Fullstack Developer,4/3/2024,Gambir, Jakarta Pusat, DKI Jakarta
8,Backend Developer,Tamtech International,-,"Agile Methodologies,Node.js,JavaScript,REST API",https://glints.com/id/opportunities/jobs/backend-developer/06377e97-2975-43e6-b8b6-60ed500e3249?utm_referrer=explore,06377e97-2975-43e6-b8b6-60ed500e3249,contract,onsite,1-3,Diploma,Backend Development,Backend Developer,4/3/2024,Kapanewon Depok, Sleman, DI Yogyakarta
9,Backend Developer (Node.js),PT Karisma Zona Kreatifku (KAZOKKU),-,"TypeScript,Node.js",https://glints.com/id/opportunities/jobs/backend-developer-nodejs/8d24d258-8085-4e53-9da4-d90ca61c61f5?utm_referrer=explore,8d24d258-8085-4e53-9da4-d90ca61c61f5,contract,onsite,1-3,Diploma,Backend Development,Node.js Developer,4/3/2024,Penjaringan, Jakarta Utara, DKI Jakarta
10,Rust Developer,PT Mitrais,-,"Rust,English Languange,Kafka",https://glints.com/id/opportunities/jobs/rust-developer/6dd0bb9c-f726-4827-90e3-59d32839c6fb?utm_referrer=explore,6dd0bb9c-f726-4827-90e3-59d32839c6fb,full_time,remote,3-5,SMA/SMK,Software,Rust Developer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
11,Senior Golang Developer,PT Mitrais,-,"Bahasa Inggris,Software Engiineering,PHP,Go/Golang",https://glints.com/id/opportunities/jobs/senior-golang-developer/4eb64329-7985-41be-b9b2-385a1c563dd5?utm_referrer=explore,4eb64329-7985-41be-b9b2-385a1c563dd5,full_time,remote,5-10,SMA/SMK,Backend Development,Golang Developer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
