job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
IT Technical Application Support - (L1 Support) - Banking,Id/x Partners,"Tanah Abang, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Linux System Administration,SQL,Rdbms",https://glints.com/id/opportunities/jobs/it-technical-application-support-l1-support-banking/e15b9ff4-946a-4d01-b3ec-d8e2a510d59a?utm_referrer=explore,e15b9ff4-946a-4d01-b3ec-d8e2a510d59a,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support,4/3/2024
IT Project Ops,PT Stampindo Lancar Jaya,"Kembangan, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp5jt-Rp7jt,"experience,salary,logo,Data Management,IT Project Management,PostgreSQL",https://glints.com/id/opportunities/jobs/it-project-ops/40df2354-87cf-490d-90b7-00271c7dba9e?utm_referrer=explore,40df2354-87cf-490d-90b7-00271c7dba9e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Operation & Maintenance Engineer,4/3/2024
Back End Developer,PT Rect Media Komputindo,"Semarang Tengah, Semarang, Jawa Tengah",Kerja di kantor,Rp3jt-Rp5jt,"experience,salary,logo,Laravel,PHP,Python,Go / Golang",https://glints.com/id/opportunities/jobs/back-end-developer/fbcc6efd-3e92-47c8-848b-28fd57ee1478?utm_referrer=explore,fbcc6efd-3e92-47c8-848b-28fd57ee1478,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Backend Development,Backend Developer,4/3/2024
Senior Frontend Developer,PT Suitmedia Kreasi Indonesia,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,UX Design,CSS3,Vue.js,API Development,JavaScript,React.js,UI Design,Model-View-Controller (MVC),GIT,HTML5,Angular.js",https://glints.com/id/opportunities/jobs/senior-frontend-developer/d8e24264-b030-42d9-a5c9-559d68736437?utm_referrer=explore,d8e24264-b030-42d9-a5c9-559d68736437,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,4/3/2024
Digital Product Growth Analyst,PT Sigma Global Teknologi,"Senen, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo",https://glints.com/id/opportunities/jobs/digital-product-growth-analyst/b08e5630-470f-4dec-af9e-f6000ec608f1?utm_referrer=explore,b08e5630-470f-4dec-af9e-f6000ec608f1,contract,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer,4/3/2024
Data Analyst Ecommerce,PT Optima Technology Indonesia,"Penjaringan, Jakarta Utara, DKI Jakarta",Kerja di kantor,Rp5jt-Rp8jt,"experience,salary,logo,Data Entry,Data Collection,Data Management",https://glints.com/id/opportunities/jobs/data-analyst-ecommerce/dc8d8e7c-2cf3-47ac-8e33-cbe57e57dc4a?utm_referrer=explore,dc8d8e7c-2cf3-47ac-8e33-cbe57e57dc4a,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Data,Data Analyst,4/3/2024
IT Staff,PT MOVI Ventura Prima,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Logical Reasoning,Search Engine Optimization (SEO),Asset Management",https://glints.com/id/opportunities/jobs/it-staff/6597a6fb-b5ec-4c1a-b041-0f33c36298bf?utm_referrer=explore,6597a6fb-b5ec-4c1a-b041-0f33c36298bf,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff,4/3/2024
Backend stack dan Frontend stack,Inotal Sistema International,"Gambir, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Mercure,Php Symfony,TailwindCSS,Vite,Php Swoole,React.js,PHP",https://glints.com/id/opportunities/jobs/backend-stack-dan-frontend-stack/e23625fd-527a-4963-be6f-72b1d182d40a?utm_referrer=explore,e23625fd-527a-4963-be6f-72b1d182d40a,contract,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Backend Development,Fullstack Developer,4/3/2024
Backend Developer,Tamtech International,"Kapanewon Depok, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,"experience,logo,Agile Methodologies,Node.js,JavaScript,REST API",https://glints.com/id/opportunities/jobs/backend-developer/06377e97-2975-43e6-b8b6-60ed500e3249?utm_referrer=explore,06377e97-2975-43e6-b8b6-60ed500e3249,contract,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Backend Development,Backend Developer,4/3/2024
Backend Developer (Node.js),PT Karisma Zona Kreatifku (KAZOKKU),"Penjaringan, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,TypeScript,Node.js",https://glints.com/id/opportunities/jobs/backend-developer-nodejs/8d24d258-8085-4e53-9da4-d90ca61c61f5?utm_referrer=explore,8d24d258-8085-4e53-9da4-d90ca61c61f5,contract,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Backend Development,Node.js Developer,4/3/2024
