Job Title,Company Name,Location,Salary,Work Type,Job Classification,Job Sub Classification,Job Short Description,Job Description,Facility,Posted Date
Data Analyst,Cv Sari Asem,Gunung Anyar,,Full time,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,,"Job Description :

Memahami dengan baik sistem database produk-produk perusahaan.
Memelihara sistem database perusahaan.
Berkolaborasi dengan data researcher untuk memperoleh data yang dibutuhkan perusahaan.
Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya.
Menganalisis data yang telah dikelompokan dengan alat statistik.
Mempresentasikan data yang telah diolah dalam sebuah rapat untuk dijelaskan kepada semua tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan.

Kualifikasi :

Minimal SMA/SMK SEDERAJAT/S1
Mampu mengoperasikan Microsoft Excel dan Microsoft Word
Teliti dan tanggungjawab
Siap dan minat untuk bekerja keras

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Gaji yang diinginkan: Rp3,500,000 per bulan",,21 jam yang lalu
Data Analyst Leader,PT Tiga Berlian Mandiri,Surabaya,,Full time,Penjualan,Pengembangan Bisnis Baru,,"KUALIFIKASI : 

Pendidikan S1 Statistika/Matematika/Fisika
Pengalaman kerja Min 5 Tahun pada posisi yang sama 
Memiliki kemampuan Excel Level Advanced dan Minitab 
Memiliki kemampuan Analisa Data, Visualisasi Data, Komunikatif, Kreativitas dan problem solving yang baik 
Memahami program CRM/ERP 
Memiliki Presentation Skill yang baik 
Lokasi kera : Surabaya

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang
Selasa: Pagi, Siang
Rabu: Pagi, Siang
Kamis: Pagi, Siang
Jum'at: Pagi, Siang
Sabtu: Pagi, Siang


Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 21 March 2024
Gaji yang diinginkan: Rp4,500,000 - Rp6,500,000 per bulan",,8 hari yang lalu
Business Analyst,Pt. Gramulia utama,Jawa Timur,,Full time,Penjualan,Pengembangan Bisnis Baru,,"Menganalisis Data: Mengumpulkan, menyusun, dan menganalisis data bisnis untuk mengidentifikasi tren, pola, dan masalah yang ada.
Komunikasi dengan Pemangku Kepentingan: Berinteraksi dengan berbagai level dalam organisasi untuk memahami kebutuhan bisnis dan mengkomunikasikan hasil analisis dengan jelas kepada pemangku kepentingan.
Pemodelan Bisnis: Membangun model bisnis yang memvisualisasikan proses, aliran kerja, dan struktur organisasi guna memberikan gambaran yang lebih baik tentang operasi perusahaan.
Perancangan Solusi: Merumuskan rekomendasi atau solusi yang didasarkan pada analisis data, kebutuhan bisnis, dan pemahaman mendalam terhadap proses operasional.
Konsultasi dan Dukungan: Memberikan saran dan dukungan kepada tim manajemen untuk membuat keputusan strategis berdasarkan temuan analisis.
Evaluasi Kinerja: Melakukan evaluasi terhadap implementasi solusi yang diusulkan serta memberikan rekomendasi untuk perbaikan lebih lanjut.

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Siang, Pagi
Selasa: Siang, Pagi
Rabu: Siang, Pagi
Kamis: Siang, Pagi
Jum'at: Siang, Pagi


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 25 March 2024
Gaji yang diinginkan: Rp3,000,000 - Rp7,000,000 per bulan",,1 hari yang lalu
Data Analys,CV RAJAWALI BINA MAJU,Surabaya,"Rp4,500,000 – Rp5,000,000 per month",Full time,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,,"Kualifikasi:- Jurusan Informatika, Statistik, Matematika, atau jurusan lainnya yang relevan- Memiliki kemampuan analisis yang kuat.- Mampu menggunakan alat analisis data seperti SQL, Excel, dan alat BI seperti Power BI.- Mampu mengkomunikasikan temuan dengan jelas melalui visualisasi data, seperti grafik dan dashboard.- Memiliki pengalaman melakukan riset pasar.- Familiar dengan bahasa pemrograman (ex: Python, R) menjadi nilai tambah.Tugas dan Tanggung Jawab:- Mengelola dataset besar, melakukan teknik pemrosesan Big Data, dan memastikan kualitas data.- Melakukan riset pasar untuk mendapatkan wawasan tentang tren industri, kebutuhan pelanggan, dan peluang pasar.- Bekerja sama dengan departemen lain untuk mendapatkan hasil analisa yang akurat dan dapat dipertanggungjawabkan.- Menerapkan model statistik dan machine learning untuk memprediksi tren pasar dan perilaku pelanggan.- Membuat dan memelihara dashboard, laporan, dan visualisasi data per bulan.","Memiliki kesempatan untuk mengembangkan potensi, Menjadi bagian dari salah satu perusahaan alat kasir terbesar",1 bulan yang lalu
Analisis Data,PT AKR Corporindo Tbk.,Modung,,Full time,Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,,"Memahami dengan baik sistem database produk-produk perusahaan.
Memelihara sistem database perusahaan.
Berkolaborasi dengan data researcher untuk memperoleh data yang dibutuhkan perusahaan.
Mengatur data yang diperoleh untuk dikelola sesuai jenis datanya.
Menganalisis data yang telah dikelompokan dengan alat statistik.
Mempresentasikan data yang telah diolah dalam sebuah rapat untuk dijelaskan kepada semua tim tentang data yang ada sehingga bisa digunakan sesuai kebutuhan.

Berkolaborasi dengan programmer, engineer, hingga manager tim lainnya untuk pengolahan dan penggunaan data
Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP",,12 hari yang lalu
Data Scientist,ZONA MEDIA GROUP,Jawa Timur,,Full time,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi",,"Deskripsi Pekerjaan :

Mengumpulkan 
data kuantitatif atau kualitatif untuk mengidentifikasi pola dan tren 
dari perilaku manusia (audien dan komunitas)
Membantu dalam pengoptimalan konten, pemasaran, dan meningkatkan keterlibatan sponsor.
Mengelola data dari berbagai sumber diantaranya data pendengar, analisis situs web, media sosial, dan umpan balik acara
Memberikan rekomendasi data untuk meningkatkan audiens dan sponsor

Kualifikasi :
Pendidikan S1 ilmu Komputer, Statistik, Matematika, Psikologi, Sosiologi, dan Antropologi
Pengalaman Data Scientist atau posisi yang berkaitan
Pengetahuan tentang konsep statistik dasar (hipotesis, distribusi, probabilitas)
Paham metode pengambilan data (Quisoner, Survey, Observasi, dll)
Paham Python, R, atau SQL basis data (SQL), dan alat visualisasi (Tableau, Power BI). (nilai tambahan)


Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 01 March 2024",,27 hari yang lalu
DATA ENGINEER,PT Elisa Camline Indonesia,Surabaya,,Full time,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,,"Job Description :Involve in the entire development cycle from requirements analysis to design, coding, testing, implementation and supportOverseas travel will be required for the purpose of customers meeting or onsite projects supportWorks with customers, applications and product management to capture requirements and translate into software functional specificationsJob Requirements :University degree in the field of Computer Science/ Information Technology/ Software Development or equivalentMinimum has one year of working experience in related fieldProvicient in Spark programming, knowledge in other programming language will be an advantageAble to optimize slow queriesCan master any new technologies, programming language or design conceptCan master of mathematical sciences models such as: statistics, linear programming, graphs, and many complicated concepts will be usedHave mathematical score such as algorthm, calculus, basic math, aljabar, statistics (minimum B+)Good teamwork and communication skillIndependent, self-discipline and result orientedFresh graduate are welcome",,30+ hari yang lalu
Data Analyst,ZONA MEDIA GROUP,Jawa Timur,,Full time,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi",,"Deskripsi Pekerjaan :

Mengumpulkan 
data kuantitatif atau kualitatif untuk mengidentifikasi pola dan tren 
dari perilaku manusia (audien dan komunitas)
Membantu dalam pengoptimalan konten, pemasaran, dan meningkatkan keterlibatan sponsor.
Mengelola data dari berbagai sumber diantaranya data pendengar, analisis situs web, media sosial, dan umpan balik acara
Memberikan rekomendasi data untuk meningkatkan audiens dan sponsor

Kualifikasi :
Pendidikan S1 ilmu Komputer, Statistik, Matematika, Psikologi, Sosiologi, dan Antropologi
Pengalaman Data Scientist atau posisi yang berkaitan
Pengetahuan tentang konsep statistik dasar (hipotesis, distribusi, probabilitas)
Paham metode pengambilan data (Quisoner, Survey, Observasi, dll)
Paham Python, R, atau SQL basis data (SQL), dan alat visualisasi (Tableau, Power BI). (nilai tambahan)


Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 01 March 2024",,27 hari yang lalu
Junior Data Analyst,PT. Salam Pacific Indonesia Lines,Surabaya,,Full time,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,,"About the Job- Mengumpulkan & extracting data dari berbagai macam sumber internal maupun external- Melakukan data cleansing & menganalisa kualitas data yang didapatkan- Melakukan identifikasi, analisa & menginterpretasikan data untuk melihat pola & trend yang bisa digunakan untuk prediksi ataupun diagnosa atas performance perusahaan diwaktu-waktu sebelumnya- Menganalisa kejadian / event / trend di luar perusahaan (dalam skala lokal, nasional) untuk bisa melihat dampaknya terhadap perusahaan maupun bidang industri lainnya yang terkait dengan core business perusahaan dan kemudian memberikan laporan untuk top management sehingga bisa dilakukan pengambilan keputusan- Bekerjasama dengan team software engineer / programmer untuk identifikasi kemungkinan-kemungkinan improvement di system sehingga ke depannya dapat meningkatkan kualitas data yang kita miliki- Menyiapkan laporan analisis final bagi para stakeholders sehingga memungkinkan bagi mereka untuk mengambil keputusan berdasarkan berbagai macam data yang ada (related dengan job desc Data Scientist)Minimum Qualification- Pendidikan min. S1 Teknik Industri- Fresh Graduate ataupun berpengalaman dipersilahkan melamar- Mampu menggunakan Program SQL, Data Cleansing, Data Analytics, Statistics, dan Dashboard Reporting- Memiliki kemampuan analisa yang baik",,2 hari yang lalu
Data Scanner Officer,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Surabaya,,Full time,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi",,"Job description & requirements
Siap Target Scan dokumen minimal 3000 dokumen perhari
Review data sesuai petunjuk
Lulusan SMK/SMA
Wajib memiliki Laptop Pribadi
Komunikasi Baik & Detail Oriented

Skills
Communication Skills
Attention to Detail
Analytical Skills

CultureSIGMATECH is collaborative, progressive, energetic, innovative and open.
SIGMATECH has established itself as the trusted partner for use in mission-critical applications and service clientele from SME to 500 Fortune company.
Benefits and perks of working with us include:
Compensation: Competitive salariesLifestyle: Casual dress codeProgression: Professional development (Webinars & Prime Class)Welfare: BPJS, Private Insurance, Transport Allowance
About the company",,26 hari yang lalu
