Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID
Front End Developer,PT Media Wave Interaktif,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,,2024-04-24,Kontrak,"Responsibilities:Determining the structure and design of web pages.Ensuring user experience determines design choices.Developing features to enhance the user experience.Striking a balance between functional and aesthetic design.Ensuring web design is optimized for smartphones.Building reusable code for future use.Optimizing web pages for maximum speed and scalability.Utilizing a variety of markup languages to write web pages.Maintaining brand consistency throughout the design.Requirements:Degree in computer science or related field.Understanding of key design principles.Proficiency in HTML, CSS, JavaScript, and jQuery.Familiar with Nuxt.js, Tailwind CSS, VuejsUnderstanding of server-side CSS.Experience with graphic design applications such as Adobe Illustrator, Figma.Experience with responsive and adaptive design.Understanding of SEO principles.Good problem-solving skills.Excellent verbal communication skills.Good interpersonal skills.",https://www.jobstreet.co.id/id/job/75382623?type=standout&ref=search-standalone,75382623
Web Developer,PT Nusantara Berkah Digital,Yogyakarta,,Teknologi Informasi & Komunikasi,Developer/Programmer,"Jenjang Karir yang jelas, Tim yang solid, Lingkungan kerja yang kondusif dan menyenangkan",2024-04-26,Full time,"Syarat :•⁠  ⁠Lulusan Sarjana jurusan Teknologi informasi atau setara•⁠  ⁠Menguasai bahasa PHP, Framework codeigniter / laravel•⁠  ⁠Menguasai HTML, CSS, Javascript•⁠  ⁠Menguasai Vue JS menjadi nilai plus•⁠  ⁠Menguasai database Mysql / Postgresql•⁠  ⁠Mampu berkomunikasi dengan baik dan bekerjasama dengan tim dev lainnya•⁠  ⁠Pengalaman minimal 4 tahun di Fullstack developer•⁠  ⁠Memiliki kemampuan kuat di problem solving dan debuging•⁠  ⁠Bersedia ditempatkan di Jogja Tanggung Jawab :•⁠  ⁠Menambah fitur di nutacloud.com•⁠  ⁠Maintenance nutacloud.com•⁠  ⁠Bug Fixing•⁠  ⁠Mampu membawa nutacloud ke arah yang lebih baik•⁠  ⁠Membuat standar code untuk backend•⁠  ⁠Membuat dokumentasi code dengan rapi",https://www.jobstreet.co.id/id/job/75429089?type=standout&ref=search-standalone,75429089
Front End Developer,PT IDStar Cipta Teknologi,Jakarta Raya,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-29,Kontrak,"Responsibilities:Designing, developing, and testing UI for mobile and web applicationsBuild reusable code and libraries for future useAccurately translate user and business needs into functional frontend codeTranslate user and business needs into functional frontend design.Stay update with new programming trendConducting website performance and usability testsQualifications:Bachelor's degree or equivalent in Computer Science3+ years experience in frontend developmentFamiliar with ReactJS or React NativeFamiliar with Microservices ArchitectureExperience building object oriented web applications in JavaScript, HTML5, and CSS3Willing to handle Banking ProjectHas experience working in Banking or Financial Industry is a plus",https://www.jobstreet.co.id/id/job/75463009?type=standout&ref=search-standalone,75463009
Frontend Developer,PT Lentera Bangsa Benderang,Jakarta Raya,,Teknologi Informasi & Komunikasi,Developer/Programmer,"BINAR Bootcamp, BINARPro (E-Learning), Transportation and Communication Allowances",2024-04-25,Kontrak,"Join our client's team as a Frontend Developer and work on cutting-edge projects that influence the financial sector. In this role, you will collaborate with a creative and skilled team to build responsive and efficient applications. You'll have the opportunity to make significant contributions to our product's frontend, ensuring a seamless and engaging user experience.Key Requirements:- At least 1 year of hands-on experience with ReactJS, creating high-quality, maintainable code.- Strong understanding of JavaScript and ECMAScript standards to effectively work across our technology stack.- Must be proficient with Redux and Redux Saga for state management and asynchronous operations.- Experience with Axios for API integration is essential.- Familiarity with design tools like Figma is required, enabling you to translate design into functional user interfaces.- Experience in the financial industry is beneficial, though not mandatory.",https://www.jobstreet.co.id/id/job/75401118?type=standout&ref=search-standalone,75401118
Junior Software Engineer (Front End),Nostra Solution,Jakarta Selatan,Rp6.000.000 – Rp7.000.000 per month,Teknologi Informasi & Komunikasi,Developer/Programmer,"Career Path, Health benefits, Training",2024-04-27,Kontrak,"We’re a small and innovative consultant company. We’re growing and seeking enthusiastic, creative, intelligent, and fun individuals to join us. In return, we can offer you a fun but hard-working environment where you can instantly see your contribution to the company’s success. Junior Software Engineer (Front End) We are looking for smart, self-motivated software developers to join our truly exceptional development team. About You Fresh graduate or maximum 2 years working experienceYou care about software; you have a passion for what you do, which you can clearly convey by your actions rather than just waffly personal statements on your CV.You have knowledge of CSS, Typescript, and object-oriented programming concepts.Have experience using Angular/React/Vue FrameworkHave the intention always to learnAble to speak EnglishWilling to relocate to the job locationSelf-motivated, resourceful, and creative problem solverHigh conceptual and analytical skillFor you, it’s more than a job. The Role Our teams are cross-functional, self-organizing, and highly autonomous. No architects, or middle management. You’ll be working directly with our Product Managers and stakeholders in a highly collaborative manner. This approach requires a huge amount of teamwork and maturity and is not right for everyone, but we believe it’s the best way to create great software. Among other things, TDD/BDD, Refactoring, and Continuous Delivery are deeply embedded, and we’re constantly striving to improve the way we work. We know typing is not the bottleneck, so among other things: Have around sharing sessions a week spending time doing things like Katas, Dojos, and discussing practices and technologies.However, we’re not perfect and not afraid to say so. We recognize we have many problems which need solving and a long way to go on our journey of continuous improvement. Technologies We Use Most of our stack is Java for Backend, and many Javascript Framework (Angular, Vue, React) for Frontend,  but we’re using and investigating many other languages and technologies (e.g., Go, NodeJS, C++, Python). We’d be interested in candidates from any background as long as you have a keen understanding of Object Oriented languages. Here’s a (not exclusive) list of technologies we currently use: Java, Spring Framework, Hibernate,Angular, React, Vue.jsPostgreSQL, MongoDB, RedisLinux, Jenkins, AWS, GCPCucumber, SeleniumREST, OAuthGit",https://www.jobstreet.co.id/id/job/75434098?type=standout&ref=search-standalone,75434098
Web Programmer (Frontend),PT. Networks Indonesia Aku,Jakarta Selatan,Rp8.000.000 – Rp10.000.000 per month,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-26,Full time,"Job Requirements:Candidate must possess at least a Bachelor's Degree major in Information Technology or Information System. Min 2 years of working experience as Web Programmer or Developer Mastering Programming Language HTML and CSSProficient knowledge in JavaScript, jQuery, and other front end technologies is a plus.Experience with REST Api, and Gitlab / Github in a business environmentFamiliar with publishing/hosting projects to productionAttention to detail and an analytical thinking Job Description:Develop and build superior and innovative Web-based systems.Develop secure and functional web-based systems. Provide quality coding solutions for both simple systems and complex information or operating systems.Handle development and Improvement of webFollow projects guidelines and be able to work as a teamCollaborate with web designers to improve usability",https://www.jobstreet.co.id/id/job/75432082?type=standout&ref=search-standalone,75432082
Front End Engineer (JavaScript / Vue.JS),PT Digital Laskar Pelangi (Orderfaz),Bandung,"Rp4,000,000 – Rp5,500,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-28,Full time,"Job description:Collaborate in agile software development teamsBuilding, testing, optimizing stable and great productsMaintain documentation, code quality and automatization environmentWilling to learn and adapt different technologiesRequirements:Bachelor degree in Software Engineering/Computer Science or other related disciplinesMore than 1 year experience as a Front End EngineerExpertise in Javascript fundamentals is a mustStrong knowledge in Javascript framework (Vue.js, React, or Angular), especially Vue.jsKnowledge of version control systems such as Git or BitBucket, branching mechanism, pull requestExperience with responsive design implementationUnderstanding of SEO and Google AnalyticsFamiliar with PWA concept is a plusHave a good sense of design is a plus",https://www.jobstreet.co.id/id/job/75232067?type=standout&ref=search-standalone,75232067
Web Developer,PT Intersys Optima Nusantara,Jakarta Utara,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-29,Full time,"About usINTERSYS OPTIMA NUSANTARA and INTERSYS SOLUSINDO INFORMATIKA are a company founded in Indonesia which offers products and IT solutions for businesses around the world. Besides development and implementation, we also provide training and mentoring related to the software applied. INTERSYS OPTIMA NUSANTARA and INTERSYS SOLUSINDO INFORMATIKA main product is accounting and operational system in restaurants, cafes, food courts, and hotels. Since 2013, a new division focusing on website & mobile application solutions were introduced. Several new products focusing on online store and transportation solutions were developed and ready to use. INTERSYS OPTIMA NUSANTARA and INTERSYS SOLUSINDO INFORMATIKA seeks to provide excellent services and tailor-made solutions for your business.Qualifications & experienceCandidate must possess at least a Diploma, Bachelor's Degree, Engineering (Computer/Telecommunication) or equivalent with minimum GPA of 3.0At least 2 year of working experience in the related field is required for this positionExperienced with ASP.NET technologies and SQL ServerProficient with front-end development languages, including JQuery, HTML5, and CSS.Strong understanding of OOP concept, data structures, and algorithmEyes to perfection and spirit of excellenceGood attitude, fast learner, and team playerFamiliar with GitFresh graduates with good logic and analytic thinking are encouraged to applyFull-Time position(s) availableTasks & responsibilitiesDevelop web application based on specification documentsResearch the given requirement, report any difficulties and suggest better approach to implement the required featuresFix bugs and implement enhancements to existing featuresPerform testing to ensure the quality of the project and/or patchesBenefitsBPJS TKTunjangan MakanTunjangan TransportTunjangan Kerajinan",https://www.jobstreet.co.id/id/job/75473549?type=standard&ref=search-standalone,75473549
Front End Developer Executive (Downstream),PT Nojorono Tobacco International,Jakarta Timur,,Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-04-25,Full time,"Job Deskripsi:Memahami dan mampu mengembangkan Front End Web DeveloperMengidentifikasi dan menangani troubleshooting teknis selama proses pengembangan aplikasiMembuat aplikasi internal ataupun eksternal (custom) dalam platform web sesuai design dan timeline yang disepakatiMelakukan koordinasi untuk memastikan kesesuaian dengan pemangku kepentingan bisnis, manajemen, dan tim lainnyaMampu menyajikan laporan regular terkait progress proyek  Kualifikasi:Minimal pendidikan S1 Jurusan Teknik Infromatika, Ilmu Komputer, Teknik Industri akan menjadi nilai tambahMemiliki pengalaman 2 Tahun sebagai Web DeveloperMemahami database & programming language & API Integration menggunakan JavaScript/PHP/Golang,HTML,Java,CSSMemahami versioning tools (such as Git, Mercurial or SVN)Mau belajar dan beradaptasi dengan hal baru",https://www.jobstreet.co.id/id/job/75389064?type=standard&ref=search-standalone,75389064
"Software Developer for UX and Frontend (Based in Jakarta, Pluit Area)",PT Fleischhacker Solutions Indonesia,Jakarta Utara,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,"Passionate & Energetic Work Culture, Employee Development Opportunities, Good and friendly working environment",2024-04-25,Full time,"Job Responsibilities:Create user-centred designs, wireframes, and prototypes based on user research and business requirements.Collaborate with development teams to ensure technical feasibility and optimize application performance for maximum speed and scalability.Conduct user research, usability testing and gather feedback to continually improve the user experience.Design and maintain a consistent visual identity across all software applications and platforms. Assist in creating and maintaining design libraries, style guides and design systems.Collaborate with stakeholders to define and refine user personas, user journeys and information architecture. Requirements:Degree in Computer Science/Information Technology or related discipline.Proven work experience  as a UI/UX Designer, Frontend Developer (with coding proficiency), showcasing a strong portfolio of past projects.Familiar with front-end development technologies, such as HTML5, CSS3, and JavaScript.  Knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET)Experience in DevExpress is a plus.Understanding of Agile methodologies.Knowledge of the healthcare industry (such as HL7, Dicom protocols) will be an added advantage.",https://www.jobstreet.co.id/id/job/75402386?type=standout&ref=search-standalone,75402386
