Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category,period_of_salary,Compensation,salary_currency
Admin Data Entry,PT FIRST PROPERTI ABADI,Yogyakarta,1900000.0,Administrasi Dukungan Perkantoran,Entri Data Pengolahan Kata,Not Written,2024-03-14,Full time,"PT. KONGLO MUDA PROPERTI adalah salah satu perusahaan ternama di Yogyakarta yang bergerak di bidang Properti.Dengan pengalaman lebih dari 5 tahun, kami baru saja launching properti villa pertama kita di Yogyakarta yang menawarkan 3 konsep villa berbeda yang menghadirkan keindahan nuansa Bali secara menyeluruh yaitu @villadibali.yk (Instagram) We're Hiring Admin Data EntryJOB DESCRIPTION• Mempersiapkan dan menyortir dokumen sebelum datanya dimasukkan ke dalam komputer.• Memasukkan data ke dalam database milik perusahaan.• Memeriksa dan memastikan keakuratan data yang sudah dimasukkan ke dalam database.• Menyelesaikan perbedaan informasi dan data yang tidak lengkap.• Menanggapi permintaan informasi dari anggota yang berwenang.• Mengelola dokumen dan catatan dengan baik.• Menyiapkan laporan yang relevan sesuai dengan kebutuhan.• Mengidentifikasi dan mengoreksi kesalahan saat memasukkan data.JOB REQUIREMENTSMA/SMK/D3/S1 semua jurusanFresh Graduate/pengalamanMemiliki Ketelitian yang tinggiMemiliki komunikasi yang baikMampu berorganisasi & bekerja sama dengan baikBersedia mengikuti proses seleksi & TrainingBersedia ditempatkan di Yogyakarta",https://www.jobstreet.co.id/id/job/74425476?type=standout&ref=search-standalone,74425476,DATA,month,not_written,IDR
Data Engineer,PT PERMODALAN NASIONAL MADANI,Jakarta Selatan,not_written,Teknologi Informasi Komunikasi,Teknik Perangkat Lunak,Asuransi Kesehatan Tunjangan Kinerja Insentif,2024-03-16,Kontrak,Qualifications:1. Pendidikan minimal S1 di bidang Ilmu Komputer atau Sistem Informasi;2. Berpengalaman minimal 1 tahun sebagai Data Engineer/Data Analyst;3. Mahir bahasa pemograman database;4. Memahami teknologi pendukung Data Warehouse / Data Lake beserta perangkat sotware pendukungnya. Job Description :1. Membuat dan mengelola SQL Procedure;2. Membuat dan mengelola SSIS workflow;3. Melakukan debugging dan testing;4. Melakukan transformasi data.,https://www.jobstreet.co.id/id/job/74488809?type=standout&ref=search-standalone,74488809,DATA,not_written,not_written,not_written
Data Center Manager,EQUINIX SDN BHD,Jakarta Raya,not_written,Teknologi Informasi Komunikasi,Manajemen,Career Growth Opportunities Outstanding Company Culture Great Benefits,2024-03-18,Full time,"Equinix is the world’s digital infrastructure company, operating 240+ data centers across the globe and providing interconnections to all the key clouds and networks. Businesses need one place to simplify and bring together fragmented, complex infrastructure that spans private and public cloud environments. Our global platform allows customers to place infrastructure wherever they need it and connect it to everything they need to succeed.We are a fast-growing global company with 20 years of continuous growth. Through our innovative portfolio of high-performance products and services, we have created the largest, most active global ecosystem of 10,000+ companies, including 2,100 networks and 3,000+ cloud and IT service providers in 32 countries spanning six continents.  Joining our operations team means that you will be at the forefront of all we do, maintaining critical facilities infrastructure as part of a close-knit team delivering best-in-class service to our data center customers. We embrace diversity in thought and contribution and are committed to providing an equitable work environment. that is foundational to our core values as a company and is vital to our success.Job SummaryReceives objective based assignments, and resolves resources to meet schedules and goals. Provides mentorship to subordinates within the latitude of established company policies. Recommends changes to policies and establishes procedures that affect section or multiple disciplines. Decisions impact others in the immediate team and influences methods and techniques. Executes financials, business planning, organizational priorities and workforce.ResponsibilitiesManagementManages supervisors and professional individual contributors. Guides through well defined management precedentsManages teams to work safely, effectively and with high regard to human error avoidanceManages personnel details including salaries, positioning, hire/fire, reviews, mentor and developmentAids in testing, project management, and resolving incidentsProject / Infrastructure Site ManagementPlans, coordinates, reviews budgets, and implements resources to complete projects and maintenance within the data centersProvides input and guidance towards budgetOverall site capacity managementTranslates functional plans into operational processes and guides executionVendor ManagementLeads all aspects of contractor work and operations to ensure completion to Equinix's required standards, Key Performance Indicators and Service Level AgreementsTestingEnsures accurate processes are followed and all documentation is completeTakeover of new builds and building infrastructureWrites all (MOP) Maintenance Operation Protocol scriptsIncident ManagementCommunicates and coordinates activities and on-site staff during an incidentAssists with root cause analysis and incident resolutionQualificationsMinimum of 8 years of related experience in the data center space preferredBachelor’s degree or equivalent work experience required",https://www.jobstreet.co.id/id/job/74395033?type=standout&ref=search-standalone,74395033,DATA,not_written,not_written,not_written
Data Scientist,PT SERASI AUTORAYA MEMBER OF ASTRA,Jakarta Timur,not_written,Sains Teknologi,Matematika Statistik Teknik Informasi,Not Written,2024-03-14,Full time,"Job Description: Provide data modelling, mining, pattern analysis, data visualization and Machine Learning solutionDesign accurate and scalable prediction algorithms use advanced mathematical models, simulation models, machine learning algorithms, operations research techniques, and strong business acumen to deliver insight, recommendations, and solutionsWork with data to analyze, extract, normalize, and label relevant dataConduct market research and gather data from various sources to analyze trends in the automotive industry, particularly in the used car marketDevelop and maintain pricing models and tools to support IBID's sales and marketing teams Requirements:Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc)1-2 years of experience in data analytics or data modelling and programmingUnderstanding of predictive modelling, machine-learning, clustering and classification techniques, and algorithmsProficient in SQL, Hive, Pig and experience working with statistical computer languages (R, Python, Weka, NumPy, MatLab etc)Experience in machine learning framework and familiarity with Big Data frameworks and visualization toolsUnderstanding in automotive industry and up to date with automotive market trend",https://www.jobstreet.co.id/id/job/74428274?type=standout&ref=search-standalone,74428274,DATA,not_written,not_written,not_written
Operator Data Center,PT COLLEGA INTI PRATAMA,Bogor,not_written,Teknologi Informasi Komunikasi,Pengembangan Administrasi Database,Not Written,2024-03-17,Kontrak,"Deskripsi Pekerjaan:Monitoring Operasional Data CenterMenjalankan Proses End of PeriodBackup dan Restore DatabaseKualifikasi:Usia maksimal 28 TahunMinimal lulusan D3 Sistem Informasi/Teknik InformasiFresh graduate dapat dipertimbangkanOperating System (Linux, Windows, UNIX)Mengetahui RDBMS (DB2, Sybase, PostgreSQL)Mengerti Bahasa SQLMengenal message format ISO 8583 (nilai tambah)Dapat menggunakan operasi pemantauan pusat data (nilai tambah)Mampu menggunakan sistem pengendalian akuntansi (nilai tambah)Siap bekerja shifting (Wajib)Bersedia ditempatkan di Sentul.",https://www.jobstreet.co.id/id/job/74310358?type=standout&ref=search-standalone,74310358,DATA,not_written,not_written,not_written
Data Engineer,PT XSIS MITRA UTAMA RECRUITMENT CENTER,Jakarta Raya,not_written,Sains Teknologi,Matematika Statistik Teknik Informasi,Sql Server Tsql Ssis,2024-03-17,Full time,"Candidate must possess at least bachelor degree (Computer Science/IT related discipline)Min 2 years working experience as Data EngineerExperience with Java, Scala, and Python programming languagesFamiliar with SQL Server and TSQL (Query, Trigger, Store Procedure)Experience with technology of SSIS (ETL SSIS) and SSAS in SQL ServerMachine learning experience with Spark or similarCertified Data Engineers or Solution Architect in 1 or more Cloud Technologies (AWS, GCP, Azure)Ability to manage numerous requests concurrently and be able to prioritize and deliverGood communication skill & dynamic team player",https://www.jobstreet.co.id/id/job/74224389?type=standout&ref=search-standalone,74224389,DATA,not_written,not_written,not_written
Data Administration Steel Niguri,PT HONDA TRADING INDONESIA,Jakarta Pusat,not_written,Teknologi Informasi Komunikasi,Pengembangan Administrasi Database,Competitive Benefit Company Insurance Carrer Path,2024-03-17,Full time,"Job Description:Preparing Data Niguri for VendorCoordination and Communication with Steel MakerHandle Administration for order materialQuotation, Purchase order, Sales Contract and order status controlPerform Genba and meeting to external parties (Customer, CC & etc)Other task assigned by company  Requirement:Minimum Bachelor's degree in any background from reputable universityMaximum 25 yoExcellent communication verbal and correspondences in EnglishAble to work in a dynamic team environment and fast-pace work demandGood analytical and conceptual thinkingAbility to multi-task and manage various activities simultaneouslyProficient in Ms. Excel and Ms. Power PointExperience in automotive industry at least 1 years is preferable",https://www.jobstreet.co.id/id/job/74154730?type=standout&ref=search-standalone,74154730,DATA,not_written,not_written,not_written
Financial Market Analyst,PT SAHABAT KIRIM DIGITAL,Jakarta Barat,not_written,Perbankan Layanan Finansial,Pialang Jual Beli Saham,Not Written,2024-03-17,Full time,"We are currently looking for candidate for Financial Market Analyst position with following qualifications:Bachelor's degree in Finance, Economics, or related field.Minimum 3 years of experience in financial industry, with expertise in foreign exchange operations.Strong understanding of foreign exchange market and financial regulations in Indonesia.Excellent leadership and communication skills.Proficiency in software and systems for foreign exchange operations.Finance certifications (e.g., CTP, CFA) are a plus.Fluent in English.Experience in market pricing or setting foreign exchange rates is advantageous.Strong analytical skills for accurate pricing decisions.Effective communication abilities for internal and external collaboration.Ability to adapt quickly to market changes.In this position you will have these following responsibilities:Conduct routine analysis of foreign exchange markets to understand market trends and identify potential opportunities or risks.Actively monitor market prices and utilize market data to make effective operational recommendations and strategies.Coordinate with the Treasury Manager to ensure competitive and advantageous market prices for the company.Responsible for updating the prices of traded foreign currencies in the system based on market analysis and company policies.Compile regular reports on market price trends and recommend price changes as necessary to maximize company profitability.Responsible for the execution and management of all company foreign exchange operations.Ensure that all foreign exchange transactions are conducted in accordance with company policies, procedures, and applicable regulations.",https://www.jobstreet.co.id/id/job/74292347?type=standout&ref=search-standalone,74292347,DATA,not_written,not_written,not_written
Risk Management Analyst,NOT WRITTEN,Jakarta Pusat,10000000.0,Perbankan Layanan Finansial,Kepatuhan Resiko,Dynamic S Company Culture Interesting Compensation Benefits Career Development,2024-03-17,Kasual,"Responsibility:Data processing and analysing for executive reports.Develop scorecard models for loan approval using data science approach (we mainly use R, but we are open in using another program)Querying data from SQLConduct risk indicator calculation, monitoring, and reporting using excel (must be fluent in excel)Forecasting and calculating expected loss. Need to have understanding in probability and statistics. Qualifications:Candidate must possess at least a Bachelor’s Degree, Master’s Degree in Economic, Finance/Accountancy/Banking, Business Administration, Mathematics.Experiences in Financial Services Company, Public Accountant at least 1 year, fresh graduate are welcome to apply.Maximum age 27 years old.Advance in data processing and analytical (in R Program, Excel, Confins System, SQL server).Analytical and have good problem-solving skills.High proficiency in English both oral and written.Able to work under the pressure and conduct deliverable of work done in properly manner. We recruit people with high integrity and high team spirit and solid personality. We offer a dynamic and multicultural working environment, opportunities for personal and professional development, and a competitive remuneration package to the selected candidate.",https://www.jobstreet.co.id/id/job/74195713?type=standout&ref=search-standalone,74195713,DATA,month,not_written,IDR
Data Processing Staff,PT WISMILAK INTI MAKMUR TBK,Surabaya,not_written,Sains Teknologi,Matematika Statistik Teknik Informasi,Not Written,2024-03-18,Full time,"Data Processing StaffKualifikasi:S1 StatistikPengalaman min. 1 tahun sebagai Data Processing di bidang Market Research industri FMCGMenguasai beragam tools statistik (Microsoft Office, SPSS, Mini Tab, Amos, dll)Bersedia ditempatkan di Wismilak Group Factory Buntaran, SurabayaJobdesc:Bertanggungjawab pada kelengakapn seluruh tools data processing dan data analysisMelakukan validasi pada data dan analisa pada laporan riset yang dibuatMelakukan proses QC dan data cleaning pada tahap data collecting Membuat form master data entry dalam format SPSS sesuai jenis riset yang dilakukan Sensory Evaluation Junior Specialist Kualifikasi:Minimal D3 Statistik/ Kimia/ T. Kimia/ T. PanganMenguasai proses pengolahan data menggunakan beragam tools statisticBersedia ditempatkan di Wismilak Group Factory Buntaran, SurabayaJobdesc:Melaksanakan dan menganalisa kegiatan panel organolepticMenyiapkan panelis dan teknis kelengkapan untuk panel organolepticMengolah data hasil panel dengan tools statisktik",https://www.jobstreet.co.id/id/job/74522548?type=standard&ref=search-standalone,74522548,DATA,not_written,not_written,not_written
