Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
admin data entry,PT First Properti Abadi,Yogyakarta,"Rp1,800,000 – Rp2,000,000 per month",Administrasi & Dukungan Perkantoran,Entri Data & Pengolahan Kata,,2024-03-14,Full time,"PT. KONGLO MUDA PROPERTI adalah salah satu perusahaan ternama di Yogyakarta yang bergerak di bidang Properti.Dengan pengalaman lebih dari 5 tahun, kami baru saja launching properti villa pertama kita di Yogyakarta yang menawarkan 3 konsep villa berbeda yang menghadirkan keindahan nuansa Bali secara menyeluruh yaitu @villadibali.yk (Instagram) We're Hiring Admin Data EntryJOB DESCRIPTION• Mempersiapkan dan menyortir dokumen sebelum datanya dimasukkan ke dalam komputer.• Memasukkan data ke dalam database milik perusahaan.• Memeriksa dan memastikan keakuratan data yang sudah dimasukkan ke dalam database.• Menyelesaikan perbedaan informasi dan data yang tidak lengkap.• Menanggapi permintaan informasi dari anggota yang berwenang.• Mengelola dokumen dan catatan dengan baik.• Menyiapkan laporan yang relevan sesuai dengan kebutuhan.• Mengidentifikasi dan mengoreksi kesalahan saat memasukkan data.JOB REQUIREMENTSMA/SMK/D3/S1 semua jurusanFresh Graduate/pengalamanMemiliki Ketelitian yang tinggiMemiliki komunikasi yang baikMampu berorganisasi & bekerja sama dengan baikBersedia mengikuti proses seleksi & TrainingBersedia ditempatkan di Yogyakarta",https://www.jobstreet.co.id/id/job/74425476?type=standout&ref=search-standalone,74425476,DATA
data engineer,PT PERMODALAN NASIONAL MADANI,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Teknik – Perangkat Lunak,"Asuransi Kesehatan, Tunjangan Kinerja, Insentif",2024-03-16,Kontrak,Qualifications:1. Pendidikan minimal S1 di bidang Ilmu Komputer atau Sistem Informasi;2. Berpengalaman minimal 1 tahun sebagai Data Engineer/Data Analyst;3. Mahir bahasa pemograman database;4. Memahami teknologi pendukung Data Warehouse / Data Lake beserta perangkat sotware pendukungnya. Job Description :1. Membuat dan mengelola SQL Procedure;2. Membuat dan mengelola SSIS workflow;3. Melakukan debugging dan testing;4. Melakukan transformasi data.,https://www.jobstreet.co.id/id/job/74488809?type=standout&ref=search-standalone,74488809,DATA
data center manager,EQUINIX Sdn Bhd,Jakarta Raya,,Teknologi Informasi & Komunikasi,Manajemen,"Career Growth Opportunities, Outstanding Company Culture, Great Benefits",2024-03-18,Full time,"Equinix is the world’s digital infrastructure company, operating 240+ data centers across the globe and providing interconnections to all the key clouds and networks. Businesses need one place to simplify and bring together fragmented, complex infrastructure that spans private and public cloud environments. Our global platform allows customers to place infrastructure wherever they need it and connect it to everything they need to succeed.We are a fast-growing global company with 20 years of continuous growth. Through our innovative portfolio of high-performance products and services, we have created the largest, most active global ecosystem of 10,000+ companies, including 2,100 networks and 3,000+ cloud and IT service providers in 32 countries spanning six continents.  Joining our operations team means that you will be at the forefront of all we do, maintaining critical facilities infrastructure as part of a close-knit team delivering best-in-class service to our data center customers. We embrace diversity in thought and contribution and are committed to providing an equitable work environment. that is foundational to our core values as a company and is vital to our success.Job SummaryReceives objective based assignments, and resolves resources to meet schedules and goals. Provides mentorship to subordinates within the latitude of established company policies. Recommends changes to policies and establishes procedures that affect section or multiple disciplines. Decisions impact others in the immediate team and influences methods and techniques. Executes financials, business planning, organizational priorities and workforce.ResponsibilitiesManagementManages supervisors and professional individual contributors. Guides through well defined management precedentsManages teams to work safely, effectively and with high regard to human error avoidanceManages personnel details including salaries, positioning, hire/fire, reviews, mentor and developmentAids in testing, project management, and resolving incidentsProject / Infrastructure Site ManagementPlans, coordinates, reviews budgets, and implements resources to complete projects and maintenance within the data centersProvides input and guidance towards budgetOverall site capacity managementTranslates functional plans into operational processes and guides executionVendor ManagementLeads all aspects of contractor work and operations to ensure completion to Equinix's required standards, Key Performance Indicators and Service Level AgreementsTestingEnsures accurate processes are followed and all documentation is completeTakeover of new builds and building infrastructureWrites all (MOP) Maintenance Operation Protocol scriptsIncident ManagementCommunicates and coordinates activities and on-site staff during an incidentAssists with root cause analysis and incident resolutionQualificationsMinimum of 8 years of related experience in the data center space preferredBachelor’s degree or equivalent work experience required",https://www.jobstreet.co.id/id/job/74395033?type=standout&ref=search-standalone,74395033,DATA
data scientist,PT Serasi Autoraya (Member of Astra),Jakarta Timur,,Sains & Teknologi,"Matematika, Statistik & Teknik Informasi",,2024-03-14,Full time,"Job Description: Provide data modelling, mining, pattern analysis, data visualization and Machine Learning solutionDesign accurate and scalable prediction algorithms use advanced mathematical models, simulation models, machine learning algorithms, operations research techniques, and strong business acumen to deliver insight, recommendations, and solutionsWork with data to analyze, extract, normalize, and label relevant dataConduct market research and gather data from various sources to analyze trends in the automotive industry, particularly in the used car marketDevelop and maintain pricing models and tools to support IBID's sales and marketing teams Requirements:Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc)1-2 years of experience in data analytics or data modelling and programmingUnderstanding of predictive modelling, machine-learning, clustering and classification techniques, and algorithmsProficient in SQL, Hive, Pig and experience working with statistical computer languages (R, Python, Weka, NumPy, MatLab etc)Experience in machine learning framework and familiarity with Big Data frameworks and visualization toolsUnderstanding in automotive industry and up to date with automotive market trend",https://www.jobstreet.co.id/id/job/74428274?type=standout&ref=search-standalone,74428274,DATA
business analyst manager,PT Hema Medhajaya,Cikupa,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,"Career Growth, BPJS, Working Days: Monday to Friday",2024-03-16,Full time,"Qualifications:Minimum bachelor's degree in business administration, finance, economics, statistics, or a related field.Min. 3 years of experience in business analysis, data analysis, or a related field, with a track record of increasing responsibility. Experience in the manufacture and furniture industry or a related field is often preferred.Strong analytical skills, including the ability to collect, analyze, and interpret complex data from multiple sources, are essential.Proficiency in data analysis tools and software, such as SQL, Excel, Tableau, or Power BI, is important. Experience with statistical analysis software, such as R or Python, may also be beneficial.A strong understanding of business principles and the ability to apply data analysis to drive business decisions and outcomes is important.The ability to identify business problems, analyze root causes, and develop effective solutions is important for success in this role.Strong project management skills, including the ability to prioritize tasks, manage timelines, and coordinate with cross-functional teams, are important for managing business analysis projects.Relevant certifications, such as Certified Business Analysis Professional (CBAP) or Project Management Professional (PMP) are preferred.Job Desc:Analyzing data, identifying business trends, and providing insights to support decision-making and business growth and enhance customer satisfactionGenerating regular reports and ad-hoc analyses to provide insights into key performance indicators (KPIs) and help drive strategic decision-makingIdentifying opportunities to improve business processes and efficiency through data analysis and recommending solutions to address business challenges.Collaborating with stakeholders at all levels of the organization to understand their data needs and provide relevant insights and recommendations.Managing projects related to data analysis, including defining project scope, objectives, and timelines, and coordinating with cross-functional teams to ensure project success.Supporting the development and implementation of business strategies based on data-driven insights and recommendations.Monitoring budgetary constraints and ensuring that projects are completed within budget.Ensuring that data analysis and reporting processes meet quality standards and comply with regulations.",https://www.jobstreet.co.id/id/job/74490352?type=standout&ref=search-standalone,74490352,DATA
business development data center general manager,,Jakarta Selatan,,Penjualan,Pengembangan Bisnis Baru,,2024-03-18,Kontrak,"We're hiring general manager for business development team in Telecomunication Industry in Jakarta.Job Description:Identifies market opportunities and trends by researching the industry and related events, publications, regulations and monitor individual existing and potential customers and competitors Identifies potential business opportunities matching against company strategy   Screens potential opportunities by analyzing market strategies, deal requirements, potentials, financials, options and resolving internal prioritiesDevelop negotiating strategies, linking the opportunities with operations integration, examining risks and opportunitiesCloses business deals by coordinating requirements, negotiations, and operations, within his/her authority limitsEnhances organization reputation in the market  Requirement:Min. S1 all majorA minimum 10 years experienced in senior positions in IT Data CentreGood knowledge of Data CentreExcellent presentation and communications skills           Strong interpersonal skills with the ability to interface with and influence a diverse population, multiple levels of an organization and various cross function.    Excellent marketing capability",https://www.jobstreet.co.id/id/job/74512648?type=standout&ref=search-standalone,74512648,DATA
business analyst,PT Astra Otoparts Tbk,Jakarta Utara,,Akuntansi,Analisis & Pelaporan,"Business Analyst, Accounting, Otomotif",2024-03-13,Full time,"- Lulusan S1 Akuntansi dengan IPK min. 3,0- Freshgraduate are welcome to apply- Memahami Akuntansi dan Finance, dan dasar-dasar Management- Mampu berbahasa Inggris dengan baik- Memiliki kemampuan Interpersonal dan Analytical Thinking yang baik",https://www.jobstreet.co.id/id/job/74389374?type=standout&ref=search-standalone,74389374,DATA
business intelligence officer,PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia),Jakarta Selatan,"Rp5,500,000 – Rp7,000,000 per month",Teknologi Informasi & Komunikasi,Pengembangan & Administrasi Database,"BPJS Kesehatan & Ketenagakerjaan, Health Insurance",2024-03-13,Full time,"Job Description Collect and translate business requirementCommunicate business requirements to IT supports, data engineers, and external vendorsDesign, development and implementation of reporting solution RequirementHave Bachelor’s degree from Computer Science, Operation Research, Information Technology, Mathematics, Statistics, or equivalent Minimum 1 years experienced as Business Intelligence Analyst.Experience with ERP (SAP), CRM (i.e. Salesforce)Knowledge of SQL Database and queries, have experience with power BI will be advantageHave passion in data modelling, problem visualization through data, predictive analysis and developing optimization algorithms.Have excellent problem-solving, analytical, communication, and presentation skills.Have a strong motivation to learn.",https://www.jobstreet.co.id/id/job/74391668?type=standout&ref=search-standalone,74391668,Other
organization design analyst,PT Mandiri Tunas Finance,Jakarta Raya,,Sumber Daya Manusia & Perekrutan,Pengembangan Organisasi,,2024-03-14,Full time,"Kualifikasi:Pendidikan minimal S1 dari jurusan Teknik Industri/ Teknik Mesin/ Management/ BusinessPengalaman minimal 2 tahun di bidang OD, dari industri sejenisMemiliki kemampuan negosiasi yang baikMemiliki kemampuan analisa data yang baikTeliti, rapih, dan rajinSkill yang Dibutuhkan:Project ManagementMicrosoft Office, khususnya excel dan power pointVisioGambaran Pekerjaan:Melakukan review atas penyusunan struktur organisasiMelakukan analisa beban kerja untuk setiap fungsi pekerjaanBertanggungjawab atas pelaksanaan Job EvaluationMelakukan analisa pemenuhan MPP",https://www.jobstreet.co.id/id/job/74451160?type=standout&ref=search-standalone,74451160,Other
hris system analyst,PT Bussan Auto Finance (BAF),Jakarta Selatan,,Teknologi Informasi & Komunikasi,Analis Bisnis/Sistem,"Flexy Time, Comfortable office room design",2024-03-14,Full time,"Qualifications:Minimum education: S1 Information Systems, Informatics EngineeringMinimum 1 year experience in the same fieldMastering computer programs Word, Excel, Power Point, System Administrator , System Support, SQL Server, SDLCHelpful, Good Communication, Problem Solving Job Desc:Analyze and solve general problems related to HR SystemsManage systems and data as well as system development projectsProvide support for system problems",https://www.jobstreet.co.id/id/job/74428877?type=standout&ref=search-standalone,74428877,Other
