Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,og_period_salary,Compensation,og_salary_currency,Job ID,Job Category,Scraped Date
staff administrator,Pt Surya Tata Alam Raya,Jakarta Barat,5075000.0,Administrasi Dukungan Perkantoran,Asisten Administratif,Bpjs Ketenagakerjaan Jenjang Karir Ke Staff Admin Senior Officer Tunjangan Hari Raya Thr,1 hari yang lalu,Full time,Job Description Able To Support And Organized Documentsable To Operate Ms Office Excel And Word Create Sales Order And Invoice For Customer In A Timely Manner Fresh Graduate Are Welcome To Apply Kindly Send Us Your Profile Picture Qualification Minimum Education Level Smk D Maximum Years Oldlive In Tangerang Pasar Kemis Cikupa Or Jakarta Areawill Be Placed In Tangerang Or Jakarta Officefast Learner Flexible Learning Ability And Strong Desire To Develop Personal Growthself Motivated And Willing To Undertake Pressure,https://www.jobstreet.co.id/id/job/74369751?type=standout&ref=search-standalone,month,not_written,IDR,74369751,ADMINISTRATION,2024-03-13
staff front office,Pt Bpr Karyajatnika Sadaya,Bandung,not_written,Call Center Layanan Konsumen,Layanan Konsumen Berhadapan Dengan Konsumen,Diutamakan Lulusan Dari Universitas Ternama Di Bandung Jakarta Untuk Penempatan Di Jawa Barat Jabotabek Benefit Bpjs Thr,19 jam yang lalu,Full time,Job Description Melayani Nasabah Dalam Pembukaan Rekening Atau Depositomemproses Pengajuan Kredit Nasabahmengidentifikasi Dan Menilai Kebutuhan Pelangganbekerjasama Dengan Tim Dan Departemen Lain Untuk Menemukan Solusi Yang Tepat Untuk Keluhan Atau Kebutuhan Pelanggankualifikasi Berusia Maksimal Tahunpendidikan S Dari Universitas Ternama Di Bandung Dan Jakartamenerima Fresh Graduateipk Min Menguasai Ms Word Exceluntuk Penempatan Di Jawa Barat Dan Jabotabek,https://www.jobstreet.co.id/id/job/74392169?type=standout&ref=search-standalone,not_written,not_written,not_written,74392169,HOSPITALITY,2024-03-13
accounting staff,Pt Hero Intiputra,Jakarta Barat,not_written,Akuntansi,Asisten Akuntan,Bpjs Kesehatan Ketenagakerjaan Thr Other Allowances,2 jam yang lalu,Kontrak,Responbilities Create Office Bookkeeping And Post An Operational Journal Preparing Financial Statements Reconciling And Adjusting Financial Data Inputting Journal Data Into The Company S System Classifying The Chart Of Accounts In Accordance With Applicable Accounting Principles Checking And Verifying The Completeness Of Financial Transaction Documents And Ensuring That Every Transaction Is Recorded Into Predeterminated System Carry Out Administrative Tasks Or Duties According To Superior S Instructions Requirements Bachelor Of Accounting S Accounting Is A Must Minimum Years Experiences In Accounting Or Financial Administration Have A Good Understanding Of Acconting Principles Experienced In Working In Board Of Director S Environment Will Be Adventages Have Strong Analysis Good In Time Management And Neatness In Preparing Reports Able To Multi Task At A Fast Rhythm Fast Learner And Able To Work Under Pressure Have High Integrity Honest And Responsible Proficient In Using Ms Office Especially Ms Excel Experienced In Using Accounting Software Is A Plus Good Communication And Persuasion Skills Good In English Both Oral And Written Able To Work Independently Or Work In A Team,https://www.jobstreet.co.id/id/job/74395034?type=standout&ref=search-standalone,not_written,not_written,not_written,74395034,FINANCE,2024-03-13
external affairs admin officer,Pt Lotte Chemical Titan Nusantara,Cilegon,not_written,Layanan Pengembangan Masyarakat,Layanan Ketenagakerjaan,Communication Skills Service Excellent Good Report,58 menit yang lalu,Full time,Lotte Chemical Titan Nusantaraopening Job Vacancy Job Descriptionresponsible In Supporting The General Scope For Civil Work Transportation Security Gardening Operational Maintenance Vehicle Catering Service Railway Keeper Stationary And Sundries Coordination With External Affairs Government Ngo Maintaining The Office By Ensuring Office Working Systems Are All Operating Properly Work Desks Chairs Stationery Needs Etc And Dealing With Issues As They Arise In A Timely Manner Purchase Stationery And Maintain Stock And Data Reports Interfacing With Internal Employees Regarding General Affairs And Administrative Support Functions Keeping Records Of Office Assets Workstation Labels Desktops Labels Etc Report Daily To Superiors Weekly Report And Monthly Report Qualification Candidate Must Possess At Least Minimum Diploma Degree D Major Management Civil At Least Years Of Working At Petrochemical Company Or Korean Companymin Years Experience As Ga Staff Officer Fluent In English Verbally Written Able To Work Under Pressure Work Individual And Team Honest Discipline And Hard Worker Good Operating Computer S System Such As Word Excel Program Power Point Internet Placement Merak Cilegon Banten Only Those Who Meet The Requirements Above Will Be Processed,https://www.jobstreet.co.id/id/job/74410308?type=standout&ref=search-standalone,not_written,not_written,not_written,74410308,IT,2024-03-13
human capital management staff,Pt Galva Galindra Multi Cipta,Jakarta Pusat,7000000.0,Sumber Daya Manusia Perekrutan,Konsultasi Hr Umum,Grup Galva Berdiri Sejak September Dan Masih Terus Berkembang Bonus Dan Fasilitas Yang Menarik Utk Karyawan Dan Keluarga Jenjang Karier Dan Kesempatan Berkembang,20 jam yang lalu,Full time,Bergabunglah Dengan Tim Kami Sebagai Human Capital Management Staff Kami Mencari Individu Yang Dinamis Proaktif Suka Travelling Dan Bersemangat Untuk Bergabung Sebagai Human Capital Management Staff Dalam Tim Kami Jika Anda Tertarik Untuk Menjadi Bagian Dari Perjalanan Kami Dalam Mengelola Sumber Daya Manusia Yang Unggul Silakan Baca Deskripsi Posisi Di Bawah Ini Tugas Dan Tanggung Jawab Melakukan Kegiatan Promosi Lowongan Pekerjaan Melalui Berbagai Saluran Termasuk Iklan Dan Menghadiri Job Fair Di Berbagai Lokasi Mengelola Proses Rekrutmen Dari Awal Hingga Akhir Termasuk Berhubungan Dengan Kandidat User Manajemen Direksi Dan Vendor Terkait Mengelola Platform Media Sosial Perusahaan Yang Terkait Dengan Proses Rekrutmen Meningkatkan Kehadiran Online Dan Memperkuat Citra Perusahaan Mampu Melakukan Presentasi Dengan Mengesankan Terutama Terkait Dengan Pemasaran Dan Branding Perusahaan Bertanggung Jawab Sebagai Tester Dan Skorer Untuk Alat Tes Psikologis Terutama Saat Menangani Kelas Besar Untuk Memastikan Pemilihan Kandidat Yang Sesuai Bersedia Melakukan Perjalanan Di Luar Kota Untuk Keperluan Pekerjaan Menangani Pembuatan Email Dan Korespondensi Resmi Lainnya Terkait Pekerjaan Dengan Tepat Waktu Berkolaborasi Dengan Human Capital Manager Dalam Implementasi Program Kesejahteraan Perusahaan Dan Koperasi Karyawan Untuk Meningkatkan Kesejahteraan Dan Kepuasan Karyawan Kualifikasi Gelar Sarjana S Dalam Psikologi Dari Universitas Ternama Ipk Minimal Usia Maksimal Tahun Pengalaman Sebelumnya Dalam Rekrutmen Atau Hr Lebih Diutamakan Fresh Graduates Yang Mampu Belajar Dengan Cepat Dipersilahkan Melamar Kemampuan Komunikasi Yang Luar Biasa Baik Secara Lisan Maupun Tertulis Kreatif Inovatif Dan Mampu Beradaptasi Dengan Cepat Dalam Lingkungan Kerja Yang Dinamis Keahlian Dalam Presentasi Dan Keterampilan Interpersonal Yang Kuat Pengetahuan Tentang Penggunaan Media Sosial Dan Strategi Pemasaran Online Kemampuan Untuk Bekerja Secara Mandiri Maupun Dalam Tim Minat Dan Pemahaman Dalam Psikologi Organisasi Akan Menjadi Nilai Tambah Ambisius Dan Memiliki Motivasi Untuk Tumbuh Bersama Perusahaan Dengan Harapan Untuk Dipromosikan Menjadi Manajer Manajemen Sumber Daya Manusia Di Masa Depan Fasilitas Bpjs Kesehatan Dan Ketenagakerjaanfasilitas Kesehatan Rawat Inap Dan Rawat Jalan Dari Galva Tidak Menggunakan Pihak Ketiga Sehingga Klaim Mudah Fasilitas Kacamata Dan Gigi Palsu Tunjangan Hari Rayabonus Setiap Bulan Yang Diberikan Berdasarkan Prestasi Kerja Dan Keuntungan Perusahaan Jenjang Karier Yang Menarik Adanya Individual Career Path Dan Individual Development Program Medical Check Up Tahunan Praktik Dokter Kantor Seminggu Dua Kali Biaya Konsultasi Gratis Koperasi Simpan Pinjam Karyawan Dana Pensiun Kegiatan Outing Bersama Yang Disponsori Oleh Perusahaan Bergabunglah Dengan Kami Dan Jadilah Bagian Dari Perjalanan Kami Dalam Menciptakan Tim Yang Luar Biasa,https://www.jobstreet.co.id/id/job/74391247?type=standout&ref=search-standalone,month,not_written,IDR,74391247,IT,2024-03-13
admin finance accounting,Pt Anggun Permai Tekindo,Tangerang Selatan,not_written,Akuntansi,Akuntansi Pelaporan Finansial,Bpjs Kesehatan Bpjs Ketenagakerjaan Medical Klaim Rawat Jalan,5 jam yang lalu,Kontrak,Job Description Input All Transactioncreate Invoicing Dan Vat Documentprint Pr From Scmfilling All Document Related To Transactions Arsip Finance Prepare Payment To Vendordeals With Internal And External Parties That Have A Relationship With The Company S Financial Inflows And Outflowsverify The Validity Of Documents Requirement Bachelor S Degree S In Accountingfreshgraduate Wellcome To Applyminimum Of Years Of Relevant Experienceproficiency In Using Ms Excel And Accounting Software Zahir Honest Active Excellent Organizational Skills Able To Determine Priorities Responsible And Able To Work Both Independently And As Part Of A Team,https://www.jobstreet.co.id/id/job/74404231?type=standout&ref=search-standalone,not_written,not_written,not_written,74404231,FINANCE,2024-03-13
relationship officer penempatan jakarta timur,Pt Bca Finance,Jakarta Timur,not_written,Penjualan,Perwakilan Konsultan Penjualan,Not Written,23 jam yang lalu,Kontrak,Tugas Utama Memasarkan Produk Serta Memperluas Pasar Jaringan Bca Financemelakukan Survey Dan Analisa Data Kelayakan Konsumenmenjalin Relasi Dan Hubungan Baik Dengan Rekanan Bca Financekualifikasi Usia Maksimal Tahunpendidikan Terakhir D D S Semua Jurusanipk Minimal Memiliki Sim C Sepeda Motor Pribadibersedia Ditempatkan Di Cabang Bca Finance Jakarta Timur,https://www.jobstreet.co.id/id/job/74384975?type=standout&ref=search-standalone,not_written,not_written,not_written,74384975,Other,2024-03-13
personal assistant,Dots Board Game Cafe,Jakarta Raya,7500000.0,Administrasi Dukungan Perkantoran,Asisten Pribadi Asisten Eksekutif Sekretarial,Not Written,16 jam yang lalu,Full time,Kualifikasi Usia Maksimal Tahunjujur Teliti Dan Dapat Diandalkanminimal Lulusan S Memiliki Kemampuan Organisasi Dan Management Waktu Yang Baiklancar Berbahasa Inggrismemiliki Kemampuan Berkomunikasi Yang Baikaktif Dan Menguasai Sosial Mediadapat Mengedit Videomampu Mengoperasikan Ms Office Tokopedia Airbnb Dan Aplikasi Sejenisnya Dengan Baikmemahami Prosedur Pengurusan Pajakbersedia Untuk Keluar Kotaberdomisili Di Jakarta Deskripsi Pekerjaan Membantu Planning Dan Koordinasi Antar Divisi Dan Antar Cabangmengatur Dan Mengkoordinasi Jadwal Meetingmembuat Notulen Meetingmenemani Direktur Melakukan Perjalanan Dinasmelakukan Management Asset Milik Direkturmelakukan Fungsi Administrasi Keuangan Pribadi Direkturmembantu Direktur Dalam Melakukan Tugas Administratif Harian Dan Rumah Tanggamenjembatani Arus Informasi Untuk Disampaikan Kepada Direkturmembantu Direktur Dalam Menjalankan Semua Pekerjaannya,https://www.jobstreet.co.id/id/job/74396794?type=standout&ref=search-standalone,month,not_written,IDR,74396794,ADMINISTRATION,2024-03-13
e commerce operation specialist,Hongkong Yintatech Netwoer Co Limited,Jakarta Pusat,8500000.0,Pemasaran Komunikasi,Pemasaran Digital Pencarian,Monthly Kpi Bonus Bpjs English,20 jam yang lalu,Full time,Job Description Responsible For Overall Operation Maintenance And Daily Management Of Major E Commerce Platforms Such As Wayfair Walmart Ebay Overstock Home Depot And Shein Properly Handle Customer Complaints And Disputes Effectively Control The Account Praise Rate And Store Comprehensive Index Review Products For Listing Improve The Accuracy Of Online Listing Page Optimize Keywords Or Pictures Adjust Prices And Promote Sales Manage And Improve Traffic Click Rate Conversion Rate Re Purchase Rate Customer Unit Price And Other Operational Indicators And Continuous Optimization Responsible For Analyzing And Studying The Development Trend Of Cross Border E Commerce Industry And The Market Behavior Of Competitors Oversee The Order Fulfillment And Shipping Process From Order Inception Through Delivery To Our Customer And Monitoring Inventory Accuracy Qualifications Quick Learner With The Ability To Handle Multiple Tasks Simultaneously Maintain Focus And Adapt To A Variety Of Challenges A Comprehensive Understanding Of Cross Border E Commerce Business Is Preferred Ability To Conduct Detailed Procedures In A Time Constrained Environment Excellent Interpersonal And Communication Skills Mature And Engaging Personality Fluent Written And Verbal Communication Skills In English Mandarin Will Be A Plus Point Strong Sense Of Time Organization And Urgency Able To Work Independently And Within A Team,https://www.jobstreet.co.id/id/job/74390564?type=standout&ref=search-standalone,month,not_written,IDR,74390564,Other,2024-03-13
procurement warehouse logistic specialist,Pt Kaldu Sari Nabati Indonesia,Bandung,not_written,Manufaktur Transportasi Logistik,Pembelian Pengadaan Inventaris,Opportunity To Be Exposed To The Global Procurement Workfrombandung Experience,1 hari yang lalu,Full time,Nabati Group Is One Of The Largest Fast Moving Consumer Goods Companies In Indonesia The Company Which Was Founded In Was Initially Only Engaged In The Snack Business With A Home Industry Scale As The Business World Develops In A Modern And Professional Manner Nabati Group Has Become A Company With A Wider Business Scope Nabati Group Now Has Several Business Units And Partners Namely Pt Kaldu Sari Nabati Indonesia Nabati Snacks Pt Richeese Kuliner Indonesia Richeese Factory Pt Pinus Merah Abadi Sales Distribution International Business Sales Distribution Job Description Sourcing High Value High Volume Materials Services Negotiating Prices Giving The Best Profit And Cost Structure For The Company Using Internal And External Benchmarkinganalyzes Multiple Data Points Trends And Economic Data That Might Disruptions In Demand And Supply To Determine Forward Buying Of Materialsensures That The Procurement Policies And Procedures Are Complied Withevaluate Vendor Performance In Determining Key Performance Indicatorshandling Procurement Transportation And Warehouse In An Fmcg Or Logistics Company Requirement Minimum Bachelor Degree In Any Majorminimum Years Experience In Procurement Sourcing Preferably From Fmcg Manufacture Logistics Industrypreferably Specialized In Land Transport Warehouse Managementrequired Skill S Analytical Thinking Negotiation Sourcing Vendors Building Relationships Sap And Microsoft Excel Skillwilling To Be Placed In Bandung Jawa Barat On Site,https://www.jobstreet.co.id/id/job/74382202?type=standout&ref=search-standalone,not_written,not_written,not_written,74382202,OPERATIONS,2024-03-13
