Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
Staff Administrator,PT Surya Tata Alam Raya,Jakarta Barat,"Rp4,500,000 – Rp5,650,000 per month",Administrasi & Dukungan Perkantoran,Asisten Administratif,"BPJS Ketenagakerjaan, Jenjang karir ke Staff Admin Senior Officer, Tunjangan Hari Raya (THR)",2024-03-12,Full time,"Job Description:Able to support and organized documentsAble to operate Ms Office (Excel and Word0Create Sales Order and Invoice for customer in a timely manner *FRESH GRADUATE are welcome to apply!*Kindly send us your profile picture Qualification:Minimum education level: SMK/D3Maximum 27years oldLive in Tangerang, Pasar Kemis, Cikupa or Jakarta AreaWill be placed in Tangerang or Jakarta OfficeFast learner, flexible learning ability and strong desire to develop personal growthSelf motivated and willing to undertake pressure",https://www.jobstreet.co.id/id/job/74369751?type=standout&ref=search-standalone
Staff Front Office,PT BPR KARYAJATNIKA SADAYA,Bandung,,Call Center & Layanan Konsumen,Layanan Konsumen – Berhadapan dengan Konsumen,"Diutamakan Lulusan dari Universitas ternama di Bandung & Jakarta, Untuk penempatan di Jawa Barat & Jabotabek, Benefit : BPJS, THR",19 jam yang lalu,Full time,"Job Description :Melayani nasabah dalam pembukaan rekening atau depositoMemproses pengajuan kredit nasabahMengidentifikasi dan menilai kebutuhan pelangganBekerjasama dengan tim dan departemen lain untuk menemukan solusi yang tepat untuk keluhan atau kebutuhan pelangganKualifikasi :Berusia maksimal 30 tahunPendidikan S1 dari Universitas Ternama di Bandung dan JakartaMenerima Fresh GraduateIPK min 3.00Menguasai Ms. Word, ExcelUntuk penempatan di Jawa Barat dan Jabotabek",https://www.jobstreet.co.id/id/job/74392169?type=standout&ref=search-standalone
Accounting Staff,PT Hero Intiputra,Jakarta Barat,,Akuntansi,Asisten Akuntan,"BPJS Kesehatan & Ketenagakerjaan, THR, Other Allowances",2 jam yang lalu,Kontrak,"Responbilities:Create office bookkeeping and post an operational journal.Preparing financial statements, reconciling, and adjusting financial data.Inputting journal data into the company's system, classifying the chart of accounts in accordance with applicable accounting principles.Checking and verifying the completeness of financial transaction documents and ensuring that every transaction is recorded into predeterminated system.Carry out administrative tasks or duties according to superior's instructions. Requirements:Bachelor of Accounting (S1 Accounting) is  a must.Minimum 3 years experiences in accounting or financial administration.Have a good understanding of acconting principles.Experienced in working in Board of Director's environment will be adventages.Have strong analysis, good in time management, and neatness in preparing reports.Able to multi-task at a fast rhythm, fast learner, and able to work under pressure.Have high integrity, honest, and responsible.Proficient in using Ms. Office, especially Ms. Excel.Experienced in using accounting software is a plus.Good communication and persuasion skills.Good in English both oral and written.Able to work independently or work in a team.",https://www.jobstreet.co.id/id/job/74395034?type=standout&ref=search-standalone
External Affairs & Admin Officer,PT Lotte Chemical Titan Nusantara,Cilegon,,Layanan & Pengembangan Masyarakat,Layanan Ketenagakerjaan,"Communication skills, Service Excellent, Good Report",582024-03-13,Full time,"LOTTE CHEMICAL TITAN NUSANTARAOPENING JOB VACANCY... Job DescriptionResponsible in supporting the General Scope for Civil work, Transportation, security, gardening, operational & maintenance vehicle, catering service, railway keeper, stationary and sundries.Coordination with external affairs (Government & NGO)Maintaining the office by ensuring office working systems are all operating properly ( work desks, chairs, stationery needs, etc.) and dealing with issues as they arise in a timely manner.Purchase stationery and maintain stock and data reports.Interfacing with internal employees regarding general affairs and administrative support functions.Keeping records of office assets (workstation labels, desktops labels, etc.)Report daily to superiors, weekly report and monthly report. Qualification:Candidate must possess at least minimum Diploma Degree (D3) Major Management/Civil.At least 3 Years of working at Petrochemical Company or Korean CompanyMin 2 years experience as GA Staff/Officer.Fluent in English, Verbally & Written.Able to work under pressure, work individual and team.Honest, Discipline, and Hard worker.Good operating computer’s system, such as : Word & Excel Program, Power Point & Internet.Placement: Merak – Cilegon (Banten)  Only those who meet the requirements above will be processed.",https://www.jobstreet.co.id/id/job/74410308?type=standout&ref=search-standalone
Human Capital Management Staff,PT Galva Galindra Multi Cipta,Jakarta Pusat,"Rp6,000,000 – Rp8,000,000 per month",Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,"Grup Galva berdiri sejak 1 September 1946 dan masih terus berkembang., Bonus dan fasilitas yang menarik utk karyawan dan keluarga., Jenjang karier dan kesempatan berkembang.",20 jam yang lalu,Full time,"Bergabunglah dengan Tim Kami sebagai Human Capital Management Staff! Kami mencari individu yang dinamis, proaktif, suka travelling, dan bersemangat untuk bergabung sebagai Human Capital Management Staff dalam tim kami. Jika Anda tertarik untuk menjadi bagian dari perjalanan kami dalam mengelola sumber daya manusia yang unggul, silakan baca deskripsi posisi di bawah ini: Tugas dan Tanggung Jawab:Melakukan kegiatan promosi lowongan pekerjaan melalui berbagai saluran, termasuk iklan dan menghadiri Job Fair di berbagai lokasi.Mengelola proses rekrutmen dari awal hingga akhir, termasuk berhubungan dengan kandidat, user, manajemen, direksi dan vendor terkait.Mengelola platform media sosial perusahaan yang terkait dengan proses rekrutmen, meningkatkan kehadiran online, dan memperkuat citra perusahaan.Mampu melakukan presentasi dengan mengesankan, terutama terkait dengan pemasaran dan branding perusahaan.Bertanggung jawab sebagai tester dan skorer untuk alat tes psikologis, terutama saat menangani kelas besar, untuk memastikan pemilihan kandidat yang sesuai.Bersedia melakukan perjalanan di luar kota untuk keperluan pekerjaan.Menangani pembuatan email dan korespondensi resmi lainnya terkait pekerjaan dengan tepat waktu.Berkolaborasi dengan Human Capital Manager dalam implementasi program kesejahteraan perusahaan dan koperasi karyawan untuk meningkatkan kesejahteraan dan kepuasan karyawan. Kualifikasi:Gelar Sarjana (S1) dalam Psikologi dari universitas ternama.IPK minimal 3.00.Usia maksimal 28 tahun.Pengalaman sebelumnya dalam rekrutmen atau HR lebih diutamakan. Fresh graduates yang mampu belajar dengan cepat dipersilahkan melamar.Kemampuan komunikasi yang luar biasa, baik secara lisan maupun tertulis.Kreatif, inovatif, dan mampu beradaptasi dengan cepat dalam lingkungan kerja yang dinamis.Keahlian dalam presentasi dan keterampilan interpersonal yang kuat.Pengetahuan tentang penggunaan media sosial dan strategi pemasaran online.Kemampuan untuk bekerja secara mandiri maupun dalam tim.Minat dan pemahaman dalam psikologi organisasi akan menjadi nilai tambah.Ambisius dan memiliki motivasi untuk tumbuh bersama perusahaan, dengan harapan untuk dipromosikan menjadi manajer manajemen sumber daya manusia di masa depan. Fasilitas :BPJS Kesehatan dan KetenagakerjaanFasilitas Kesehatan Rawat Inap dan Rawat Jalan dari Galva. Tidak menggunakan pihak ketiga sehingga klaim mudah.Fasilitas kacamata dan gigi palsu.Tunjangan Hari RayaBonus setiap 3 bulan yang diberikan berdasarkan prestasi kerja dan keuntungan Perusahaan.Jenjang karier yang menarik. Adanya individual career path dan individual development program.Medical check up tahunan.Praktik dokter kantor seminggu dua kali. Biaya konsultasi gratis.Koperasi simpan pinjam karyawan.Dana pensiun.Kegiatan outing bersama yang disponsori oleh Perusahaan. Bergabunglah dengan kami dan jadilah bagian dari perjalanan kami dalam menciptakan tim yang luar biasa!",https://www.jobstreet.co.id/id/job/74391247?type=standout&ref=search-standalone
Admin Finance & Accounting,PT Anggun Permai Tekindo,Tangerang Selatan,,Akuntansi,Akuntansi & Pelaporan Finansial,"BPJS Kesehatan, BPJS Ketenagakerjaan, Medical Klaim Rawat Jalan",5 jam yang lalu,Kontrak,"Job Description :Input all transactionCreate invoicing dan VAT documentPrint PR from SCMFilling all document related to transactions (arsip finance)Prepare payment to vendorDeals with internal and external parties that have a relationship with the company's financial inflows and outflowsVerify the validity of documents Requirement : Bachelor's degree (S1) in AccountingFreshgraduate wellcome to applyMinimum of 1-2 years of relevant experienceProficiency in using MS Excel and accounting software (Zahir)Honest, active, excellent organizational skills, able to determine priorities, responsible, and able to work both independently and as part of a team",https://www.jobstreet.co.id/id/job/74404231?type=standout&ref=search-standalone
Relationship Officer - Penempatan Jakarta Timur,PT BCA Finance,Jakarta Timur,,Penjualan,Perwakilan/Konsultan Penjualan,,23 jam yang lalu,Kontrak,"Tugas Utama :Memasarkan produk serta memperluas pasar jaringan BCA FinanceMelakukan survey dan analisa data kelayakan konsumenMenjalin relasi dan hubungan baik dengan rekanan BCA FinanceKualifikasi :Usia maksimal 24 tahunPendidikan terakhir D3 / D4 / S1 semua jurusanIPK minimal 2,5Memiliki SIM C & sepeda motor pribadiBersedia ditempatkan di cabang BCA Finance Jakarta Timur",https://www.jobstreet.co.id/id/job/74384975?type=standout&ref=search-standalone
Personal Assistant,DOTS BOARD GAME CAFE,Jakarta Raya,Rp7.000.000 – Rp8.000.000 per month,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,16 jam yang lalu,Full time,"Kualifikasi:Usia maksimal  25 tahunJujur, teliti, dan dapat diandalkanMinimal lulusan S1Memiliki kemampuan organisasi dan management waktu yang baikLancar berbahasa InggrisMemiliki kemampuan berkomunikasi yang baikAktif dan menguasai sosial mediaDapat mengedit videoMampu mengoperasikan Ms. Office, Tokopedia, Airbnb dan Aplikasi sejenisnya dengan BaikMemahami prosedur pengurusan PajakBersedia untuk keluar KotaBerdomisili di Jakarta Deskripsi Pekerjaan:Membantu planning dan koordinasi antar divisi dan antar cabangMengatur dan mengkoordinasi jadwal meetingMembuat notulen meetingMenemani direktur melakukan perjalanan dinasMelakukan management asset milik direkturMelakukan fungsi administrasi keuangan pribadi direkturMembantu direktur dalam melakukan tugas administratif harian dan rumah tanggaMenjembatani arus informasi untuk disampaikan kepada direkturMembantu direktur dalam menjalankan semua pekerjaannya",https://www.jobstreet.co.id/id/job/74396794?type=standout&ref=search-standalone
E-commerce Operation Specialist,"HONGKONG YINTATECH NETWOER CO.,LIMITED",Jakarta Pusat,"Rp7,000,000 – Rp10,000,000 per month",Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,"Monthly KPI Bonus, BPJS, English",20 jam yang lalu,Full time,"Job description:1. Responsible for overall operation, maintenance and daily management of major e-commerce platforms such as Wayfair, Walmart, eBay, Overstock, Home depot and SHEIN.2. Properly handle customer complaints and disputes, effectively control the account praise rate and store comprehensive index.3. Review products for Listing, improve the accuracy of online listing page, optimize keywords or pictures, adjust prices, and promote sales.4. Manage and improve traffic, click rate, conversion rate, re-purchase rate, customer unit price and other operational indicators and continuous optimization.5. Responsible for analyzing and studying the development trend of cross-border e-commerce industry and the market behavior of competitors.6. Oversee the order fulfillment and shipping process from order inception through delivery to our customer and monitoring inventory accuracy.Qualifications:1. Quick learner with the ability to handle multiple tasks simultaneously, maintain focus, and adapt to a variety of challenges.2. A comprehensive understanding of cross-border e-commerce business is preferred .3. Ability to conduct detailed procedures in a time constrained environment.4. Excellent interpersonal and communication skills; mature and engaging personality.5. Fluent written and verbal communication skills in English. Mandarin will be a plus point.6. Strong sense of time organization and urgency.7. Able to work independently and within a team.",https://www.jobstreet.co.id/id/job/74390564?type=standout&ref=search-standalone
Procurement Warehouse & Logistic Specialist,PT Kaldu Sari Nabati Indonesia,Bandung,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris","Opportunity to be exposed to the global procurement, #workfrombandung experience",2024-03-12,Full time,"Nabati Group is one of the largest fast-moving consumer goods companies in Indonesia. The company, which was founded in 2002, was initially only engaged in the snack business with a home industry scale. As the business world develops in a modern and professional manner, Nabati Group has become a company with a wider business scope.Nabati group now has several business units and partners, namely:PT Kaldu Sari Nabati Indonesia (Nabati Snacks)PT Richeese Kuliner Indonesia (Richeese Factory)PT Pinus Merah Abadi (sales & distribution)International Business Sales & Distribution Job Description:Sourcing high value, high volume materials & services, negotiating prices, giving the best profit and cost structure for the company using internal and external benchmarkingAnalyzes multiple data points, trends, and economic data that might disruptions in demand and supply to determine forward buying of materialsEnsures that the procurement policies and procedures are complied withEvaluate vendor performance in determining Key Performance IndicatorsHandling procurement transportation and warehouse in an FMCG or logistics company Requirement: Minimum Bachelor Degree in any majorMinimum 3 years experience in procurement / sourcing, preferably from FMCG / manufacture / logistics industryPreferably specialized in Land Transport & Warehouse ManagementRequired Skill(s) : Analytical Thinking, negotiation, sourcing vendors, building relationships, SAP, and Microsoft Excel skillWilling to be placed in Bandung, Jawa Barat (on-site)",https://www.jobstreet.co.id/id/job/74382202?type=standout&ref=search-standalone
