job_title,predicted_subcategory,predicted_role
Admin Data Entry,"Network, System & Database Admin",Data Entry
Data Engineer,Data,Data Engineer
Data Center Manager,Data,Data Analyst
Data Scientist,Data,Data Scientist
Operator Data Center,Other Computer & Information Technology,Information Technology Staff
Data Engineer,Data,Data Engineer
Data Administration Steel Niguri,"Network, System & Database Admin",Data Entry
Financial Market Analyst,"Network, System & Database Admin",System Analyst
Risk Management Analyst,"Network, System & Database Admin",System Analyst
Data Processing Staff,Data,Data Analyst
Data Analyst Staff,Data,Data Analyst
Data Analyst Monitoring Supervisor,Data,Data Analyst
Entry Data,"Network, System & Database Admin",Data Entry
Credit Analyst Commercial Corporate,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Staff Entry Data,"Network, System & Database Admin",Data Entry
Data Governance,Data,Data Engineer
Administrasi Penjualan Data Entry,"Network, System & Database Admin",Data Entry
Junior Data Analyst,Data,Data Analyst
Data Analyst,Data,Data Analyst
Data Analyst,Data,Data Analyst
Data Analyst,Data,Data Analyst
Hse Data Analyst Staff,Data,Data Analyst
It Data Engineer,Data,Data Engineer
Bdm Data Analyst,Data,Data Analyst
Hoyu Marketing Data Analyst Area,Data,Data Analyst
It Data Analyst Officer,Data,Data Analyst
Data Visualization Specialist,Data,Data Engineer
It System Requirement Analyst Js It Sra,"Network, System & Database Admin",System Analyst
Korean Speaker Data Processing,Data,Data Engineer
Staff Data Analyst,Data,Data Analyst
Data Specialist,Data,Data Engineer
Data Entry,"Network, System & Database Admin",Data Entry
It Database,"Network, System & Database Admin",Database Administrator
Bioinformatics Analyst,"Network, System & Database Admin",System Analyst
Data Analis,Data,Data Engineer
Database Administrator,"Network, System & Database Admin",Database Administrator
Staf Data Kolaborasi,"Network, System & Database Admin",Data Entry
Admin Analisi Data,Data,Data Analyst
Data And Budget Analyst,Data,Data Analyst
Edp Electronic Data Processing,Data,Data Analyst
Sr Data Scientist Kg Media,Data,Data Scientist
Dosen Prodi Data Science Ubm Kampus Serpong,Software,Software Engineer
Research Analyst,"Network, System & Database Admin",System Analyst
Market Research Analyst,"Network, System & Database Admin",System Analyst
Data Engineer Spark,Data,Data Engineer
It Senior Database Administrator,"Network, System & Database Admin",Database Administrator
Staff Administrasi Data Entry,"Network, System & Database Admin",Data Entry
Gis Analyst,Backend Development,GIS Engineer
Data Analyst,Data,Data Analyst
It Audit Analyst,"Network, System & Database Admin",System Analyst
System Administrator Database Specialist,"Network, System & Database Admin",Database Administrator
Database Administrator,"Network, System & Database Admin",Database Administrator
Data Center Electrical Project Manager,Telecommunication,Communication Project Manager
Data Entry Staff,"Network, System & Database Admin",Data Entry
Spec Data Lake Engineer,Data,Data Engineer
Internship Data Analyst,Data,Data Analyst
Coordinator Budget Control Analyst,"Network, System & Database Admin",System Analyst
Data Center Engineer,Data,Data Engineer
Data Engineer Staff,Data,Data Analyst
Database Administrator Postgresql,"Network, System & Database Admin",Database Administrator
Data Analyst Staff,Data,Data Analyst
Credit Analyst Mobil Bontang,"Network, System & Database Admin",System Analyst
Trading Analyst,"Network, System & Database Admin",System Analyst
Data Engineer,Data,Data Engineer
Data Analyst Retail Industry,Data,Data Analyst
Data Entry,"Network, System & Database Admin",Data Entry
It Technical Analyst,"Network, System & Database Admin",System Analyst
Map Analyst Labelling Team,"Network, System & Database Admin",System Analyst
Data Entry,"Network, System & Database Admin",Data Entry
Sbs Commodity Management Operations Analyst,"Network, System & Database Admin",System Analyst
Database Administrator,"Network, System & Database Admin",Database Administrator
It Analyst,"Network, System & Database Admin",System Analyst
Master Data Manager Permanent,Data,Data Analyst
Etl Developer Data Analytic Developer Supervisor,"Operation, Maintenance & Technical Support",IT Technical Support
Credit Analyst Staff Fintech,"Network, System & Database Admin",System Analyst
Database Administrator Oracle,"Network, System & Database Admin",Database Administrator
It Data Scientist,Data,Data Scientist
Digital Marketing Analyst,Software,Software Engineer
Data Entry,"Network, System & Database Admin",Data Entry
Claim Analyst Non Mv,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Data Entry,"Network, System & Database Admin",Data Entry
Accounting Analyst,"Network, System & Database Admin",System Analyst
Supply Chain Data Analyst Sr Staff Power Bi,Data,Data Analyst
Data Center Facility Engineer,Data,Data Engineer
Esg Compliance Analyst,"Network, System & Database Admin",System Analyst
Data Analyst,Data,Data Analyst
Data Center Operation Staff,Other Computer & Information Technology,Information Technology Staff
Data Center Cloud Operation Staff,Other Computer & Information Technology,Information Technology Staff
Data Analyst Staff,Data,Data Analyst
Data Entry Intern,"Network, System & Database Admin",Data Entry
Ga Data Analyst Document Controller Supervisor,Data,Data Analyst
Corporate Credit Analyst Fleet,"Network, System & Database Admin",System Analyst
