Role,Company Name,Location,Posted Date,Extracted Date,Key Skill,Experience,Job Description,More Detail
Data Analyst - Associate Data Analyst  /  Data Analyst,Information Services Group,Bengaluru / Bangalore,few days ago,2024-02-19,"data analysis   ,   python   ,   excel   ,   data visualization   ,   sql   ,  bi  ,  data extraction  ,  database  ,  git  ,  technical skills  ,  machine learning  ,  infrastructure  ,  data communication",2 - 3 yrs,"Data Analyst - Associate Data Analyst  /  Data Analyst Research-Provider Lens Bangalore ,  IndiaApplyDescriptionWanted: dynamic and creative individuals ready to connect with ...",https://www.timesjobs.com/job-detail/data-analyst-associate-data-analyst-data-analyst-information-services-group-bengaluru-bangalore-2-to-3-yrs-jobid-wpyIiSD9lNZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst - Associate Data Analyst  /  Data Analyst,Information Services Group,Bengaluru / Bangalore,few days ago,2024-02-19,"data analysis   ,   python   ,   excel   ,   data visualization   ,   sql   ,  bi  ,  data extraction  ,  database  ,  git  ,  technical skills  ,  machine learning  ,  infrastructure  ,  data communication",2 - 3 yrs,"Data Analyst - Associate Data Analyst  /  Data Analyst Research-Provider Lens Bangalore ,  IndiaApplyDescriptionWanted: dynamic and creative individuals ready to connect with ...",https://www.timesjobs.com/job-detail/data-analyst-associate-data-analyst-data-analyst-information-services-group-bengaluru-bangalore-2-to-3-yrs-jobid-nCzNuOOzXQFzpSvf__PLUS__uAgZw==&source=srp
Data Analysts,Zoxima Solutions Pvt. Ltd.,,few days ago,2024-02-19,"reports  ,  Data Analysts  ,  MySQL",3 - 8 yrs,"Experience  3-8 YearsJOB INFORMATIONVery good programming skills ,  preferably in R languageStrong Experience in MySQLAbility to grasp nuances of business quicklyExperience in...",https://www.timesjobs.com/job-detail/data-analysts-zoxima-solutions-pvt-ltd-3-to-8-yrs-jobid-ykoXKM9SnchzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,the modern dimension,"Delhi,  Delhi/NCR,  Bengaluru / Bangalore",4 days ago,2024-02-19,"oracle  ,  sas  ,  bi  ,  dashboards  ,  data analyst  ,  alteryx  ,  sql  ,  tableau",3 - 6 yrs,"Responsibilities Building advanced workflows using Alteryx3 years- experience in an analytics related field.3 years- experience using a business intelligence  ( BI )  tool ,  ...",https://www.timesjobs.com/job-detail/data-analyst-the-modern-dimension-delhi-delhi-ncr-bengaluru-bangalore-3-to-6-yrs-jobid-MLY5JvW__PLUS__ks9zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ADROIT LEARNING AND MANPOWER PVT LTD,Ahmedabad,5 days ago,2024-02-19,"data analysis  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  infrastructure  ,  data visualization",7 - 10 yrs,"You will work on and contribute into building a modern analytics platform leveraging AWS technologies including Glue ,  S3 ,  Athena ,  RedShift ,  and QuickSight. You will de...",https://www.timesjobs.com/job-detail/data-analyst-adroit-learning-and-manpower-pvt-ltd-ahmedabad-7-to-10-yrs-jobid-O6rsbebTEJNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,HyreFox Consultants,Jaipur,few days ago,2024-02-19,"data analytics  ,  business requirements  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  tableau",0 - 3 yrs,MAIN DUTIES AND RESPONSIBILITIES Create business reports and process all data extracts and imports; ensuring accuracy and attention to detail at all times Collate and produce ...,https://www.timesjobs.com/job-detail/data-analyst-hyrefox-consultants-jaipur-0-to-3-yrs-jobid-xI2bjtkBOw5zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,cibirix digital media,,few days ago,2024-02-19,"advanced analytics  ,  visualization  ,  data analytics  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  data visualization",2 - 5 yrs,Data Analyst 2  yearsABOUT US: Cibirix is a leading digital marketing agency committed to driving results for our clients through innovative and data-driven strategies. Our te...,https://www.timesjobs.com/job-detail/data-analyst-cibirix-digital-media-2-to-5-yrs-jobid-gHpu48XKd2hzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,netskope software pvt.ltd,Bengaluru / Bangalore,2 days ago,2024-02-19,"data analysis  ,   customer management  ,   looker  ,   sql  ,   communication   ,  communication skills  ,  employee recognition",4 - 7 yrs,"About NetskopeToday ,  there's more data and users outside the enterprise than inside ,  causing the network perimeter as we know it to dissolve. We realized a new perimeter w...",https://www.timesjobs.com/job-detail/data-analyst-netskope-software-pvt-ltd-bengaluru-bangalore-4-to-7-yrs-jobid-o10dyX35u0ZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,netskope software pvt.ltd,Bengaluru / Bangalore,2 days ago,2024-02-19,"data analysis  ,   insights  ,   looker  ,   sql  ,   communication   ,  communication skills  ,  employee recognition",4 - 7 yrs,"About NetskopeToday ,  there's more data and users outside the enterprise than inside ,  causing the network perimeter as we know it to dissolve. We realized a new perimeter w...",https://www.timesjobs.com/job-detail/data-analyst-netskope-software-pvt-ltd-bengaluru-bangalore-4-to-7-yrs-jobid-irTYNqazOoRzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,myglamm popxo,Delhi/NCR,few days ago,2024-02-19,"data analysis   ,   excel   ,   sql   ,   python   ,   communication skills   ,  bi  ,  dashboards  ,  data visualization  ,  tableau  ,  analyst",2 - 4 yrs,"Good Glamm Group in news:The Good Glamm Group ,  a South Asian content-to-commerce conglomerate ,  hasraised $150 million in funding in its Series D round ,  including both pr...",https://www.timesjobs.com/job-detail/data-analyst-myglamm-popxo-delhi-ncr-2-to-4-yrs-jobid-6pvL3yYCARNzpSvf__PLUS__uAgZw==&source=srp
